grid_id,centroid_lat,centroid_lon
172,40.26561072894312,-124.3564729207389
173,40.29924191315152,-124.35490058202224
174,40.35281383157693,-124.35979176400264
175,40.40047908353552,-124.3721280156961
176,40.44022934431481,-124.38378779579236
177,40.48406993899026,-124.37712085411292
178,40.52349281316274,-124.37359456554748
179,40.55428737085582,-124.3652969755038
382,40.22475965186617,-124.30418421278424
383,40.26260533558916,-124.31803521806854
384,40.30753920425354,-124.32075865185752
385,40.35251318343401,-124.32344039608574
386,40.39748873688846,-124.3261254689995
387,40.44246589596176,-124.32881387679588
388,40.48744469207112,-124.33150562568734
389,40.53242515670668,-124.33420072190174
390,40.5755945149149,-124.33143593840714
391,40.61748899109544,-124.32142866219148
392,40.64783924121357,-124.31301634421484
592,40.18535540469426,-124.2446253552086
593,40.21963451923397,-124.25670388275842
594,40.264602504656445,-124.25934775401724
595,40.30957627456524,-124.26198984398371
596,40.354551590549086,-124.2646352115697
597,40.39952848388967,-124.26728386287384
598,40.44450698594097,-124.26993580400996
599,40.48948712812932,-124.27259104110703
600,40.534468941953946,-124.27524958030932
601,40.57945245898742,-124.27791142777627
602,40.6244377108762,-124.28057658968272
603,40.66711230885596,-124.27788068545736
604,40.70501173707873,-124.26601919871165
802,40.14011012980804,-124.1821252980429
803,40.177005723349055,-124.19499453183144
804,40.22163681589421,-124.1980094809624
805,40.26661038352707,-124.20061200636805
806,40.31158546904838,-124.20321775849298
807,40.35656210367696,-124.20582674333804
808,40.4015403187035,-124.20843896691872
809,40.44652014549082,-124.21105443526558
810,40.49150161547422,-124.2136731544241
811,40.53648476016198,-124.21629513045475
812,40.58146961113563,-124.21892036943316
813,40.62645620005076,-124.22154887744996
814,40.671444558636885,-124.22418066061095
815,40.71625063786694,-124.2265384311099
816,40.75943064060582,-124.22119086482137
817,40.79359082760234,-124.20891652816654
838,41.769808773595685,-124.2615603239476
839,41.78444938377035,-124.26517965250989
1012,40.10460307294066,-124.11354170956793
1013,40.13441464297312,-124.13346689454598
1014,40.17864216768245,-124.13674375519736
1015,40.22361554010752,-124.13930680560722
1016,40.26859040224664,-124.14187303200194
1017,40.31356678525624,-124.14444244028466
1018,40.358544720363845,-124.1470150363732
1019,40.40352423886897,-124.14959082619994
1020,40.4485053721431,-124.15216981571209
1021,40.49348815163045,-124.15475201087152
1022,40.53847260884806,-124.157337417655
1023,40.583458775386575,-124.15992604205417
1024,40.62844668291037,-124.16251789007546
1025,40.673436363158025,-124.16511296774036
1026,40.71842784794303,-124.16771128108532
1027,40.76342116915377,-124.1703128361618
1028,40.80762632685751,-124.1716110390776
1029,40.8503717704323,-124.16221448083768
1030,40.88713119426826,-124.15342533998128
1033,41.05248419330203,-124.15963115605626
1034,41.07901571996671,-124.16284759172164
1035,41.122744668090185,-124.16413364624712
1048,41.729968355467705,-124.2020234973884
1049,41.75841124923736,-124.22360540353571
1050,41.79707235061512,-124.22735024816782
1051,41.84193470728581,-124.21798632635
1052,41.887868172476445,-124.21312658208078
1053,41.93481633076415,-124.21744799487202
1054,41.97517532545018,-124.21596386123991
1221,40.019833907386754,-124.05470517489096
1222,40.045960498567005,-124.06257774895604
1223,40.09173238284098,-124.07152986780387
1224,40.13561858958613,-124.0755504991672
1225,40.18059177394359,-124.07807416401052
1226,40.22556641985327,-124.08060095426956
1227,40.27054255840896,-124.08313087575026
1228,40.31552022077563,-124.085663934273
1229,40.36049943818962,-124.0882001356726
1230,40.40548024195877,-124.0907394857982
1231,40.45046266346337,-124.09328199051367
1232,40.49544673415635,-124.09582765569732
1233,40.54043248556354,-124.09837648724208
1234,40.585419949284336,-124.1009284910555
1235,40.63040915699192,-124.10348367305988
1236,40.67540014043381,-124.10604203919225
1237,40.72039293143233,-124.10860359540436
1238,40.76538756188487,-124.11116834766293
1239,40.81038406376457,-124.11373630194944
1240,40.85538246912044,-124.11630746426032
1241,40.90010481539499,-124.11841280566108
1242,40.94423049494252,-124.11409069609792
1243,40.98905106095761,-124.1087905449529
1244,41.04090211960976,-124.1204437440218
1245,41.08040417513779,-124.12921160710695
1246,41.125280891454,-124.13166832020804
1247,41.16818031457159,-124.12083263058268
1248,41.20928242205128,-124.11327446689153
1249,41.24088523030092,-124.10980643044437
1256,41.582062146585066,-124.12984929123417
1258,41.66934114120215,-124.14092532788771
1259,41.71717273219865,-124.1523105023416
1260,41.75580035408228,-124.16841376430048
1261,41.80084627519975,-124.17105370723898
1262,41.84589482502437,-124.1736969939961
1263,41.89094603748042,-124.1763436309248
1264,41.93599994657895,-124.17899362439417
1265,41.97824374401419,-124.18186659768664
1431,39.97112342475103,-123.98825744543946
1432,40.00529695436329,-124.00549403850732
1433,40.047594509959545,-124.01194833600545
1434,40.09256611102027,-124.01442963525896
1435,40.13753911452217,-124.01691400382892
1436,40.18251355142672,-124.01940144741036
1437,40.22748945276562,-124.02189197171262
1438,40.27246684964132,-124.02438558245896
1439,40.31744577322704,-124.02688228538696
1440,40.36242625476744,-124.02938208624832
1441,40.4074083255792,-124.03188499080908
1442,40.45239201705096,-124.03439100484958
1443,40.497377360644336,-124.03690013416453
1444,40.54236438789369,-124.03941238456292
1445,40.587353130407095,-124.04192776186837
1446,40.63234361986652,-124.04444627191876
1447,40.67733588802818,-124.04696792056676
1448,40.7223299667232,-124.04949271367944
1449,40.76732588785785,-124.05202065713854
1450,40.812323683414,-124.0545517568405
1451,40.85732338544964,-124.05708601869642
1452,40.90232502609931,-124.0596234486322
1453,40.94732863757444,-124.06216405258854
1454,40.992334252163936,-124.06470783652097
1455,41.03734190223441,-124.06725480639996
1456,41.082351620231,-124.06980496821092
1457,41.12736343867744,-124.0723583279542
1458,41.17237739017657,-124.07491489164528
1459,41.217393507411046,-124.0774746653146
1460,41.26152875660373,-124.07728782084908
1461,41.3065732592423,-124.07298694510202
1462,41.35151987173021,-124.06939324799264
1463,41.39573582449273,-124.065626252366
1464,41.44316333506303,-124.06474192956657
1465,41.49156665446293,-124.0715783430674
1466,41.53470599084154,-124.08001438306064
1467,41.57875795435592,-124.09486320383029
1468,41.62361407242248,-124.09589587442206
1469,41.66773661138787,-124.10318119273865
1470,41.712723163876056,-124.10584577421724
1471,41.75776784880704,-124.10844454356312
1472,41.80281513180837,-124.11104660267868
1473,41.84786504672716,-124.11365195781072
1474,41.89291762749744,-124.11626061522188
1475,41.937972908140495,-124.11887258119054
1476,41.97879083334779,-124.12159364211512
1640,39.8833256153885,-123.91870991552958
1641,39.920476611035774,-123.9353970078195
1642,39.95996670286991,-123.94793414327872
1643,40.00451330568591,-123.95093894352208
1644,40.04948476124991,-123.95338108580248
1645,40.094457591179726,-123.95582624725591
1646,40.13943182637515,-123.95827443348144
1647,40.18440749780605,-123.96072565009186
1648,40.22938463651227,-123.96317990271392
1649,40.27436327360444,-123.9656371969884
1650,40.31934344026418,-123.96809753856986
1651,40.36432516774451,-123.97056093312705
1652,40.40930848737049,-123.97302738634262
1653,40.45429343053921,-123.9754969039135
1654,40.49928002872063,-123.9779694915506
1655,40.5442683134578,-123.98044515497917
1656,40.58925831636724,-123.98292389993858
1657,40.63425006913949,-123.98540573218254
1658,40.679243603539405,-123.98789065747908
1659,40.724238951406846,-123.99037868161054
1660,40.76923614465666,-123.9928698103738
1661,40.8142352152796,-123.99536404958008
1662,40.85923619534236,-123.99786140505512
1663,40.90423911698826,-124.0003618826393
1664,40.9492440124377,-124.00286548818748
1665,40.99425091398844,-124.0053722275692
1666,41.039259854016095,-124.00788210666876
1667,41.08427086497467,-124.01039513138502
1668,41.12928397939699,-124.01291130763184
1669,41.17429922989505,-124.01543064133772
1670,41.21931664916062,-124.01795313844612
1671,41.26433626996548,-124.0204788049154
1672,41.30935812516221,-124.02300764671888
1673,41.35438224768436,-124.02553966984487
1674,41.39940867054712,-124.02807488029678
1675,41.44443742684754,-124.03061328409308
1676,41.48946854976534,-124.03315488726749
1677,41.534502072563136,-124.0356996958688
1678,41.57953802858694,-124.03824771596108
1679,41.62457645126671,-124.04079895362376
1680,41.66961737411695,-124.04335341495162
1681,41.71466083073688,-124.04591110605476
1682,41.75970685481115,-124.04847203305869
1683,41.80475548011034,-124.05103620210456
1684,41.84980674049133,-124.05360361934896
1685,41.89486066989795,-124.05617429096404
1686,41.93991730236135,-124.0587482231377
1687,41.97945305881875,-124.06136408426164
1839,39.3488986094744,-123.82983780546296
1840,39.365720500548335,-123.8297144792434
1850,39.842356690591664,-123.86815133629896
1851,39.87242851655099,-123.88399777291232
1852,39.91643325010397,-123.88760158844764
1853,39.96140325198064,-123.89000169890758
1854,40.0063745693905,-123.89240477307136
1855,40.051347233103,-123.8948108164288
1856,40.0963212739567,-123.89721983448312
1857,40.14129672285955,-123.89963183275134
1858,40.18627361078923,-123.90204681676396
1859,40.23125196879398,-123.90446479206524
1860,40.2762318279925,-123.90688576421314
1861,40.32121321957455,-123.90930973877944
1862,40.36619617480146,-123.91173672134968
1863,40.41118072500644,-123.91416671752324
1864,40.45616690159506,-123.91659973291348
1865,40.50115473604556,-123.91903577314764
1866,40.546144259909205,-123.92147484386692
1867,40.59113550481116,-123.92391695072666
1868,40.63612850245037,-123.92636209939614
1869,40.68112328460019,-123.92881029555882
1870,40.72611988310893,-123.9312615449123
1871,40.77111832990014,-123.93371585316844
1872,40.81611865697304,-123.93617322605328
1873,40.86112089640315,-123.93863366930717
1874,40.90612508034243,-123.94109718868482
1875,40.95113124102003,-123.9435637899553
1876,40.9961394107424,-123.94603347890212
1877,41.04114962189404,-123.94850626132322
1878,41.08616190693789,-123.95098214303113
1879,41.13117629841553,-123.95346112985288
1880,41.17619282894801,-123.95594322763014
1881,41.22121153123599,-123.95842844221926
1882,41.2662324380604,-123.9609167794912
1883,41.3112555822828,-123.96340824533176
1884,41.35628099684593,-123.96590284564148
1885,41.40130871477404,-123.96840058633576
1886,41.44633876917348,-123.97090147334484
1887,41.49137119323308,-123.973405512614
1888,41.53640602022483,-123.9759127101034
1889,41.58144328350415,-123.9784230717882
1890,41.62648301651024,-123.9809366036588
1891,41.67152525276704,-123.98345331172052
1892,41.716570025883264,-123.98597320199396
1893,41.76161736955307,-123.98849628051497
1894,41.80666731755656,-123.99102255333452
1895,41.85171990376027,-123.99355202651904
1896,41.89677516211758,-123.9960847061503
1897,41.94183312666943,-123.9986205983254
1898,41.98024328693133,-124.00113367222214
2047,39.206572235026535,-123.77056962906777
2048,39.24667174701122,-123.77665570795564
2049,39.29016081382528,-123.78859744599438
2050,39.33499956901881,-123.7958276647838
2051,39.37819048806131,-123.7994610457215
2052,39.423464353234905,-123.7986671931098
2053,39.46732678415142,-123.79498989054149
2054,39.502913429619454,-123.78702627973476
2055,39.57737945591872,-123.78250358973472
2056,39.60371212905815,-123.78713016676949
2057,39.65158400301836,-123.78923456768484
2058,39.69988942989002,-123.79899669746548
2059,39.73933954725722,-123.81431195533804
2060,39.783722378136304,-123.81812553367703
2061,39.82855341397285,-123.82400391506236
2062,39.87329447861294,-123.82677534373246
2063,39.91826437773882,-123.8291365245167
2064,39.96323556440797,-123.83150061928409
2065,40.00820806932907,-123.83386763342932
2066,40.05318192327936,-123.83623757236042
2067,40.09815715710528,-123.83861044149876
2068,40.14313380172256,-123.84098624627912
2069,40.18811188811716,-123.84336499214967
2070,40.23309144734509,-123.8457466845722
2071,40.27807251053318,-123.8481313290218
2072,40.32305510887917,-123.85051893098738
2073,40.36803927365262,-123.85290949597128
2074,40.41302503619486,-123.85530302948952
2075,40.45801242791955,-123.8576995370719
2076,40.50300148031318,-123.86009902426184
2077,40.54799222493545,-123.86250149661664
2078,40.59298469341967,-123.86490695970733
2079,40.637978917473056,-123.8673154191189
2080,40.68297492887749,-123.86972688045007
2081,40.72797275948962,-123.8721413493138
2082,40.77297244124145,-123.87455883133678
2083,40.8179740061408,-123.87697933215982
2084,40.862977486271525,-123.87940285743784
2085,40.90798291379432,-123.88182941283992
2086,40.9529903209468,-123.8842590040492
2087,40.99799974004419,-123.8866916367631
2088,41.04301120347976,-123.88912731669332
2089,41.0880247437249,-123.89156604956578
