OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel
335732,28056055,EK1P,DEFAULT,9/10/2023 5:46:00 PM,9/11/2023 3:15:00 PM,wildcade,0.1,0.1,NVSFC,,,,,,,,,,Undetermined,,,,,9/10/2023 11:30:36 AM,,1696269600000.0,,,,,P4,0417,GBCC,,,,,,Snowline,,WF,FI,38.135772,-119.28556,,,{5CE782BF-9A1D-4AD7-850D-9DDCA77379E4},,0,1.0,,0,,,,1,030684,,,,Mono,NVSFC,06051,USFS,NVHTF,,USFS,Federal,,,,,,,GB11,USFS,NVHTF,US-CA,,,,,,2023-NVHTF-030684,No Decision,,,,9/10/2023 7:14:34 PM,10/2/2023 2:01:19 PM,0,,,{9B7BDD06-F9C2-46BA-8AD1-EA56796D7A10},06436d13-34fa-4d9c-8119-8ab9d09be098,
335735,28056059,,DEFAULT,9/10/2023 9:00:00 PM,,cfcad,0.01,0.01,CARRCC,,0.01,,,,,,,,Undetermined,,,,,9/10/2023 7:27:33 PM,,,,,,,,,OSCC,,,,,,LAKE MATHEWS DR / RIDGEDALE DR,,WF,FI,33.810727,-117.410912,,,{71464518-FEE7-424D-8576-3F303980B819},,0,,,0,,,,1,134583,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134583,No Decision,,,,9/10/2023 7:28:12 PM,9/10/2023 9:24:39 PM,0,,,{36D5DB14-6EC8-403E-85B6-17131A3DBEA6},a106d0b9-8068-4fec-8c83-16d98323ad66,
335738,28056064,,DEFAULT,9/10/2023 7:46:27 PM,9/10/2023 8:29:24 PM,cfcad,0.25,0.01,CAMMCC,,0.25,,,,,,,,Undetermined,,,,,9/10/2023 7:32:43 PM,,,,,,,,,OSCC,,,,,,3RD AV / KEATON RD,,WF,FI,37.327967,-120.917315,,,{0D0D7201-9E64-4481-A899-1F7CEF168552},,0,0.0,0.0,0,0.0,0.0,,1,020278,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-020278,No Decision,,,,9/10/2023 7:46:33 PM,9/10/2023 8:29:52 PM,0,,,{7805729F-D32E-4E7E-AE98-FA0DB01C668F},f81b7e6d-b4a2-45bf-a7b8-e3b12db02926,
335739,28056062,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,9/10/2023 7:42:23 PM,,,,,,,,,OSCC,,,,,,LAC-310922,,WF,FI,34.54286,-117.98717,,,{96CEEB8F-42A3-4228-A153-CE057CDDDB21},,0,,,0,,,,1,310922,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2023-CALAC-310922,No Decision,,,,9/10/2023 7:44:48 PM,9/10/2023 7:44:48 PM,0,,,{277BAAB7-8E40-4AD5-8FA9-AC10426D6497},b8c4ad59-8333-4b88-ae23-5ea7c31175d8,
335740,28056061,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,9/10/2023 7:21:55 PM,,,,,,,,,OSCC,,,,,,CAJALCO RD / BROWN ST,,WF,FI,33.813875,-117.304897,,,{F25A9BC1-E541-4EEE-97E9-673D411D1F3F},,0,0.0,0.0,0,0.0,0.0,,1,134578,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134578,No Decision,,,,9/10/2023 7:42:13 PM,9/10/2023 7:42:13 PM,0,,,{521EA781-A605-4F63-B2DA-4277F104AABD},a5fd88be-fc68-4558-a7c2-21aacd653cd5,
335741,28056065,,DEFAULT,9/10/2023 7:55:00 PM,9/10/2023 8:15:00 PM,cfcad,0.01,0.01,CABTCC,,0.01,,,,,,,,Undetermined,,,,,9/10/2023 7:39:20 PM,,,,,,,,,ONCC,,,,,,BUTTE COUNTY JAIL ORO,,WF,FI,39.529066,-121.571452,,,{02CBC4D5-45BB-4570-B157-44D8BDD65D6D},,0,0.0,0.0,0,0.0,0.0,,1,017352,,,,Butte,CATGCC,06007,,,,Private,Private,,,,,,,NC05,CAL FIRE,CABTU,US-CA,,,,,,2023-CABTU-017352,No Decision,,,,9/10/2023 7:55:32 PM,9/10/2023 8:16:01 PM,0,,,{C1C3E8A3-B81D-405E-B325-2CB81E38E856},755061b6-2f3c-4f49-900e-11e052eb0fa1,
335743,28056067,,DEFAULT,9/10/2023 8:05:00 PM,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,9/10/2023 7:37:43 PM,,,,,,,,,OSCC,,,,,,CRESTMORE,,WF,FI,33.985962,-117.414113,,,{93E11D39-759F-4646-B6BD-F7D5C03935DF},,0,0.0,0.0,0,0.0,0.0,,1,134587,,,,Riverside,CARRCC,06065,,,,OthLoc,Other,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134587,No Decision,,,,9/10/2023 8:03:21 PM,9/10/2023 9:01:28 PM,0,,,{8BC23CB1-4877-4369-8AB0-3A7FF96752C9},99123f0a-1232-486f-b521-075dbefecb2f,
335745,28056069,,DEFAULT,9/10/2023 10:59:22 PM,9/10/2023 10:59:25 PM,cfcad,1.5,0.01,CAMMCC,,1.5,,,,,,,,Undetermined,,,,,9/10/2023 8:27:17 PM,,,,,,,,,OSCC,,,,,,BRIDGE,,WF,FI,37.083636,-121.101557,,,{527D78AF-473D-4E95-956F-73AC8B1E94DE},,0,,,0,,,,1,020281,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC06,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-020281,No Decision,,,,9/10/2023 8:28:25 PM,9/10/2023 11:00:29 PM,0,,,{A3C84B5F-BC37-4A3F-811B-B189AF8B2568},387e281c-60ab-4e27-aafb-1bde15d5248d,
335746,28056070,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,9/10/2023 8:36:57 PM,,,,,,,,,OSCC,,,,,,LAC-310977,,WF,FI,33.99751,-118.1457,,,{61925F9A-314D-4242-82EF-1F5EB84443E3},,0,,,0,,,,1,310977,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-310977,No Decision,,,,9/10/2023 8:40:48 PM,9/10/2023 8:40:48 PM,0,,,{F317461D-627C-4FDD-8F20-5CBB556180AC},1f02e1af-c6c3-4816-b021-18f20f074564,
335747,28056071,,DEFAULT,9/10/2023 9:12:00 PM,,cfcad,0.01,0.01,CALNCC,,,,,,,,,,Undetermined,,,,,9/10/2023 9:09:32 PM,,,,,,,,,ONCC,,,,,,DUTCHER,,WF,FI,38.767072,-122.995567,,,{4EC54B3E-E26A-49A3-B795-534525EAD4B4},,0,,,0,,,,1,017375,,,,Sonoma,CALNCC,06097,,,,Private,Private,,,,,,,NC02,CAL FIRE,CALNU,US-CA,,,,,,2023-CALNU-017375,No Decision,,,,9/10/2023 9:10:27 PM,9/12/2023 6:20:57 PM,0,,,{231DF037-66F2-4D33-B8B1-1F06198210EF},1e4b9d4d-5742-4cd2-b57f-3a54121d63fa,
