OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
321204,28041527,,DEFAULT,7/12/2023 6:35:00 PM,7/12/2023 7:20:00 PM,cfcad,0.01,0.01,CALNCC,,0.01,,,,,,,,Undetermined,,,,,7/12/2023 6:17:00 PM,,,,,,,,,ONCC,,,,,,BOGGS,,WF,FI,38.952108,-122.88588,,,{E97C94F0-C50E-4D39-8806-4ADDDA764E42},,0,,,0,,,,1,013018,,,,Lake,CALNCC,06033,,,,Private,Private,,,,,,,NC02,CAL FIRE,CALNU,US-CA,,,,,,2023-CALNU-013018,No Decision,,,,7/12/2023 6:17:35 PM,7/12/2023 7:23:04 PM,0,,,{8EC1A4CB-F255-4ECA-9CC6-E46476C79DB1},4cad4fd7-5342-4ad0-9244-2a1450548116,,-122.88588,38.952108
321205,28041528,,DEFAULT,7/12/2023 6:47:00 PM,7/12/2023 11:23:00 PM,cfcad,0.01,0.01,CATCCC,,0.01,,,,,,,,Undetermined,,,,,7/12/2023 6:17:36 PM,,,,,,,,,OSCC,,,,,,CLARIBEL,,WF,FI,37.702896,-120.644309,,,{A94DD91E-6384-45B6-8A8A-5F05D2321E51},,0,,,0,,,,1,009115,,,,Stanislaus,CATCCC,06099,,,,Private,Private,,,,,,,SC04,CAL FIRE,CATCU,US-CA,,,,,,2023-CATCU-009115,No Decision,,,,7/12/2023 6:18:15 PM,7/13/2023 4:50:11 PM,0,,,{2BE96A59-6D41-430F-A6AF-0A9562EF9B9D},8a5efbb0-07e1-49a9-9ea1-87cdbd0ad92b,,-120.644309,37.702896
321212,28041535,,DEFAULT,7/12/2023 6:49:07 PM,7/12/2023 7:26:20 PM,cfcad,0.01,0.01,CAMMCC,,,,,,,,,,Undetermined,,,,,7/12/2023 6:29:03 PM,,,,,,,,,OSCC,,,,,,USONA,,WF,FI,37.405768,-119.826289,,,{E2383C61-E2C9-4277-BB55-74983F35FD5C},,0,,,0,,,,1,015265,,,,Mariposa,CAMMCC,06043,,,,Private,Private,,,,,,,SC04,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-015265,No Decision,,,,7/12/2023 6:35:57 PM,7/12/2023 7:26:27 PM,0,,,{E5650D7C-69CB-4475-8968-7447073A996A},e0c45260-5ab5-48dd-b6ad-9e7ee4f196bf,,-119.826289,37.405768
321217,28041536,,DEFAULT,7/12/2023 6:45:00 PM,,cfcad,0.01,0.01,CARRCC,,0.01,,,,,,,,Undetermined,,,,,7/12/2023 6:37:43 PM,,,,,,,,,OSCC,,,,,,I 15  S/ RANCHO CALIFORNIA RD OFRP,,WF,FI,33.504143,-117.153139,,,{1F773E76-E9E3-4008-951F-FA0B980BF83D},,0,0,0,0,0,0,,1,101254,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-101254,No Decision,,,,7/12/2023 6:40:48 PM,7/12/2023 7:23:42 PM,0,,,{DA90212A-BF55-4D10-9BA1-7B1BEC418C37},f8c6d73b-1db8-4fad-8e8b-31b277b5d018,,-117.153139,33.504143
321216,28041542,,FIREREPORTING,7/12/2023 8:24:00 PM,7/12/2023 8:24:00 PM,wildcad,0.1,0.1,CASBCC,,,,,,,,,,Undetermined,,,QC32,,7/12/2023 6:47:00 PM,,7/12/2023 8:24:00 PM,,,,,,,OSCC,,,,,,HECTOR,,WF,FI,34.78681,-116.4527,,,{ADA92394-9785-486A-9585-30F843C58CF5},,0,1,0,0,0,1,,1,009981,,,,San Bernardino,CASBCC,06071,BLM,,,Private,Private,,,,,,,SC14,BLM,CACDD,US-CA,,,,,,2023-CACDD-009981,No Decision,,,,7/12/2023 7:13:37 PM,7/12/2023 11:13:40 PM,0,,,{089653AF-A347-4141-ADA8-977CE86071F1},06603a21-fd6d-4688-be63-7b4dc32fd200,,-116.456,34.78817
321222,28041547,,DEFAULT,,,IROC,,,CASBDC,,,,,,,,,,,,,,,7/12/2023 7:35:00 PM,,,,,,,,,OSCC,,,,,,Franklin,,WF,FI,,,,,{5ACE7903-05C7-4C7D-87E6-04CEF351CCDE},,0,,,0,,,,1,009512,,,,Santa Barbara,CASBDC,06083,,,,Private,Private,,,,,,,SC08,C&L,CASBC,US-CA,,,,,,2023-CASBC-009512,No Decision,,,,7/12/2023 7:52:17 PM,7/12/2023 7:52:17 PM,0,,,{270B8555-DDF3-42E8-BB55-58542F7BF26C},2842321c-e284-4fa1-80a9-8bb9449c8f5e,,-119.515,34.408
321232,28041557,,DEFAULT,7/13/2023 1:30:00 AM,,wildcade,0.5,0.1,CALPCC,,,,,,,,,,Undetermined,,,,,7/12/2023 7:39:00 PM,,7/13/2023 11:00:00 PM,,,,,,,OSCC,,,,,,FRANKLIN,,WF,FI,34.415693,-119.512635,,,{1A9B6493-3954-4C51-9EF4-CF6FB0EC9841},,0,,,0,,,,1,001817,,,,Santa Barbara,CALPCC,06083,USFS,CALPF,,USFS,Federal,,,,,,,SC08,USFS,CALPF,US-CA,,,,,,2023-CALPF-001817,No Decision,,,,7/12/2023 8:30:21 PM,7/13/2023 11:08:47 PM,0,,,{C25858DE-C59E-4437-8FB1-46EE8B5D49FF},9bd03cd7-e721-4242-8b12-85915d6461a2,,-119.5083,34.443683
321221,28041545,,DEFAULT,7/12/2023 9:24:00 PM,7/12/2023 10:07:00 PM,cfcad,0.01,0.01,CAFKCC,,0.01,,,,,,,,Undetermined,,,QC34,,7/12/2023 7:47:31 PM,,,,,,,PN,1522,OSCC,,,,,,TODD,,WF,FI,36.729785,-119.045379,,,{C7510A86-7DFB-4A85-9E05-B791B306CCD3},,0,1,1,0,1,0,,1,013922,,,,Fresno,CASICC,06019,,,,Private,Private,,,,,,,SC03,CAL FIRE,CAFKU,US-CA,,,,,,2023-CAFKU-013922,No Decision,,,,7/12/2023 7:48:05 PM,7/12/2023 10:45:55 PM,0,,,{6C6F7765-1599-4D53-97B9-E2109F33E9DC},f8df5070-5962-4e54-9aec-7a9bb5af91ac,,-119.045379,36.729785
321226,28041551,,FIREREPORTING,7/12/2023 9:02:00 PM,7/13/2023 12:06:00 AM,wildcad,3.5,0.1,CASBCC,,,,,,,,,,Undetermined,,,QC37,,7/12/2023 7:59:00 PM,,7/17/2023 6:28:00 PM,,,,,,,OSCC,,,,,,MARIPOSA,,WF,FI,34.3548,-117.4376,,,{2F03745F-BEAC-428B-9094-BBF7F0DB559C},,0,1,1,0,0,1,,1,009985,,,,San Bernardino,CASBCC,06071,USFS,CABDF,,USFS,Federal,,,,,,,SC15,USFS,CABDF,US-CA,,,,,,2023-CABDF-009985,No Decision,,,,7/12/2023 8:07:56 PM,9/6/2023 8:16:25 PM,0,,,{BD093F91-EF40-4A78-B8AA-0E4E57D751B0},70608ee0-ccc3-4163-9c96-4beb425ab897,,-117.4398,34.34904
321228,28041553,,DEFAULT,7/12/2023 8:47:00 PM,,cfcad,1,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/12/2023 8:17:24 PM,,,,,,,,,OSCC,,,,,,MAPES,,WF,FI,33.757601,-117.154155,,,{3F340C77-1B29-4085-89A2-DBF1BB7EBE20},,0,,,0,,,,1,101290,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-101290,No Decision,,,,7/12/2023 8:18:00 PM,7/12/2023 11:16:52 PM,0,,,{93934061-DE20-4ED4-A0E1-8365ABDFD901},72e89984-2d83-4c1d-b8be-5f80b2690b71,,-117.154155,33.757601
