LAT,LON,YEAR,DOY,T2M
33.5,-124.375,2020,184,16.3
33.5,-123.75,2020,184,16.18
33.5,-123.125,2020,184,16.02
33.5,-122.5,2020,184,15.65
33.5,-121.875,2020,184,15.38
33.5,-121.25,2020,184,15.27
33.5,-120.625,2020,184,15.26
33.5,-120.0,2020,184,15.67
34.0,-124.375,2020,184,16.07
34.0,-123.75,2020,184,15.93
34.0,-123.125,2020,184,15.58
34.0,-122.5,2020,184,15.13
34.0,-121.875,2020,184,15.03
34.0,-121.25,2020,184,15.0
34.0,-120.625,2020,184,15.14
34.0,-120.0,2020,184,16.11
34.5,-124.375,2020,184,15.77
34.5,-123.75,2020,184,15.62
34.5,-123.125,2020,184,15.24
34.5,-122.5,2020,184,14.89
34.5,-121.875,2020,184,14.8
34.5,-121.25,2020,184,14.69
34.5,-120.625,2020,184,15.52
34.5,-120.0,2020,184,16.53
35.0,-124.375,2020,184,15.41
35.0,-123.75,2020,184,15.32
35.0,-123.125,2020,184,15.01
35.0,-122.5,2020,184,14.73
35.0,-121.875,2020,184,14.37
35.0,-121.25,2020,184,14.32
35.0,-120.625,2020,184,15.42
35.0,-120.0,2020,184,18.46
35.5,-124.375,2020,184,15.13
35.5,-123.75,2020,184,14.95
35.5,-123.125,2020,184,14.56
35.5,-122.5,2020,184,14.35
35.5,-121.875,2020,184,13.84
35.5,-121.25,2020,184,13.73
35.5,-120.625,2020,184,15.56
35.5,-120.0,2020,184,20.07
36.0,-124.375,2020,184,14.86
36.0,-123.75,2020,184,14.53
36.0,-123.125,2020,184,14.15
36.0,-122.5,2020,184,13.94
36.0,-121.875,2020,184,13.72
36.0,-121.25,2020,184,16.03
36.0,-120.625,2020,184,18.58
36.0,-120.0,2020,184,22.11
36.5,-124.375,2020,184,14.35
36.5,-123.75,2020,184,14.02
36.5,-123.125,2020,184,13.76
36.5,-122.5,2020,184,13.66
36.5,-121.875,2020,184,14.04
36.5,-121.25,2020,184,18.97
36.5,-120.625,2020,184,24.4
36.5,-120.0,2020,184,26.53
37.0,-124.375,2020,184,13.27
37.0,-123.75,2020,184,13.45
37.0,-123.125,2020,184,13.27
37.0,-122.5,2020,184,13.32
37.0,-121.875,2020,184,15.54
37.0,-121.25,2020,184,19.99
37.0,-120.625,2020,184,25.21
37.0,-120.0,2020,184,27.32
37.5,-124.375,2020,184,12.98
37.5,-123.75,2020,184,12.84
37.5,-123.125,2020,184,12.79
37.5,-122.5,2020,184,13.86
37.5,-121.875,2020,184,17.67
37.5,-121.25,2020,184,22.34
37.5,-120.625,2020,184,25.95
37.5,-120.0,2020,184,23.64
38.0,-124.375,2020,184,12.73
38.0,-123.75,2020,184,11.99
38.0,-123.125,2020,184,13.25
38.0,-122.5,2020,184,15.87
38.0,-121.875,2020,184,19.09
38.0,-121.25,2020,184,23.5
38.0,-120.625,2020,184,24.24
38.0,-120.0,2020,184,19.19
38.5,-124.375,2020,184,12.51
38.5,-123.75,2020,184,12.08
38.5,-123.125,2020,184,16.92
38.5,-122.5,2020,184,20.68
38.5,-121.875,2020,184,21.99
38.5,-121.25,2020,184,23.74
38.5,-120.625,2020,184,21.98
38.5,-120.0,2020,184,16.61
39.0,-124.375,2020,184,12.38
39.0,-123.75,2020,184,14.34
39.0,-123.125,2020,184,20.86
39.0,-122.5,2020,184,24.62
39.0,-121.875,2020,184,25.62
39.0,-121.25,2020,184,24.4
39.0,-120.625,2020,184,20.3
39.0,-120.0,2020,184,17.7
39.5,-124.375,2020,184,12.39
39.5,-123.75,2020,184,15.55
39.5,-123.125,2020,184,21.17
39.5,-122.5,2020,184,26.35
39.5,-121.875,2020,184,27.88
39.5,-121.25,2020,184,23.2
39.5,-120.625,2020,184,18.06
39.5,-120.0,2020,184,18.18
40.0,-124.375,2020,184,12.54
40.0,-123.75,2020,184,16.76
40.0,-123.125,2020,184,19.87
40.0,-122.5,2020,184,26.63
40.0,-121.875,2020,184,26.68
40.0,-121.25,2020,184,19.18
40.0,-120.625,2020,184,18.09
40.0,-120.0,2020,184,19.76
40.5,-124.375,2020,184,12.46
40.5,-123.75,2020,184,16.31
40.5,-123.125,2020,184,19.24
40.5,-122.5,2020,184,25.41
40.5,-121.875,2020,184,22.97
40.5,-121.25,2020,184,16.62
40.5,-120.625,2020,184,17.7
40.5,-120.0,2020,184,20.0
41.0,-124.375,2020,184,12.21
41.0,-123.75,2020,184,15.92
41.0,-123.125,2020,184,17.12
41.0,-122.5,2020,184,19.6
41.0,-121.875,2020,184,19.81
41.0,-121.25,2020,184,18.19
41.0,-120.625,2020,184,16.56
41.0,-120.0,2020,184,17.03
41.5,-124.375,2020,184,12.57
41.5,-123.75,2020,184,16.65
41.5,-123.125,2020,184,15.7
41.5,-122.5,2020,184,15.76
41.5,-121.875,2020,184,15.36
41.5,-121.25,2020,184,16.4
41.5,-120.625,2020,184,16.37
41.5,-120.0,2020,184,15.91
42.0,-124.375,2020,184,12.61
42.0,-123.75,2020,184,15.89
42.0,-123.125,2020,184,14.58
42.0,-122.5,2020,184,14.96
42.0,-121.875,2020,184,14.25
42.0,-121.25,2020,184,15.41
42.0,-120.625,2020,184,14.59
42.0,-120.0,2020,184,14.99
32.5,-124.375,2020,185,16.74
32.5,-123.75,2020,185,16.73
32.5,-123.125,2020,185,16.71
32.5,-122.5,2020,185,16.54
32.5,-121.875,2020,185,16.48
32.5,-121.25,2020,185,16.22
32.5,-120.625,2020,185,16.03
32.5,-120.0,2020,185,16.17
33.0,-124.375,2020,185,16.57
33.0,-123.75,2020,185,16.54
33.0,-123.125,2020,185,16.38
33.0,-122.5,2020,185,16.04
33.0,-121.875,2020,185,16.01
33.0,-121.25,2020,185,15.92
33.0,-120.625,2020,185,15.72
33.0,-120.0,2020,185,16.0
33.5,-124.375,2020,185,16.42
33.5,-123.75,2020,185,16.34
33.5,-123.125,2020,185,15.98
33.5,-122.5,2020,185,15.54
33.5,-121.875,2020,185,15.42
33.5,-121.25,2020,185,15.48
33.5,-120.625,2020,185,15.44
33.5,-120.0,2020,185,16.22
34.0,-124.375,2020,185,16.2
34.0,-123.75,2020,185,16.04
34.0,-123.125,2020,185,15.48
34.0,-122.5,2020,185,14.96
34.0,-121.875,2020,185,14.99
34.0,-121.25,2020,185,15.11
34.0,-120.625,2020,185,15.29
34.0,-120.0,2020,185,17.01
34.5,-124.375,2020,185,15.88
34.5,-123.75,2020,185,15.71
34.5,-123.125,2020,185,15.18
34.5,-122.5,2020,185,14.83
34.5,-121.875,2020,185,14.79
34.5,-121.25,2020,185,14.93
34.5,-120.625,2020,185,16.52
34.5,-120.0,2020,185,18.32
35.0,-124.375,2020,185,15.5
35.0,-123.75,2020,185,15.33
35.0,-123.125,2020,185,14.93
35.0,-122.5,2020,185,14.68
35.0,-121.875,2020,185,14.48
35.0,-121.25,2020,185,14.73
35.0,-120.625,2020,185,17.03
35.0,-120.0,2020,185,21.48
35.5,-124.375,2020,185,15.12
35.5,-123.75,2020,185,14.81
35.5,-123.125,2020,185,14.38
35.5,-122.5,2020,185,14.3
35.5,-121.875,2020,185,14.15
35.5,-121.25,2020,185,14.94
35.5,-120.625,2020,185,18.24
35.5,-120.0,2020,185,22.51
36.0,-124.375,2020,185,14.82
36.0,-123.75,2020,185,14.37
36.0,-123.125,2020,185,13.93
36.0,-122.5,2020,185,13.93
36.0,-121.875,2020,185,14.16
36.0,-121.25,2020,185,17.9
36.0,-120.625,2020,185,20.71
36.0,-120.0,2020,185,24.09
36.5,-124.375,2020,185,14.2
36.5,-123.75,2020,185,13.88
36.5,-123.125,2020,185,13.54
36.5,-122.5,2020,185,13.67
36.5,-121.875,2020,185,14.61
36.5,-121.25,2020,185,20.11
36.5,-120.625,2020,185,25.0
36.5,-120.0,2020,185,26.74
37.0,-124.375,2020,185,13.05
37.0,-123.75,2020,185,13.32
37.0,-123.125,2020,185,13.18
37.0,-122.5,2020,185,13.53
37.0,-121.875,2020,185,15.9
37.0,-121.25,2020,185,20.48
37.0,-120.625,2020,185,25.23
37.0,-120.0,2020,185,27.46
37.5,-124.375,2020,185,12.83
37.5,-123.75,2020,185,12.74
37.5,-123.125,2020,185,12.65
37.5,-122.5,2020,185,13.82
37.5,-121.875,2020,185,17.27
37.5,-121.25,2020,185,22.37
37.5,-120.625,2020,185,26.03
37.5,-120.0,2020,185,24.16
38.0,-124.375,2020,185,12.62
38.0,-123.75,2020,185,12.01
38.0,-123.125,2020,185,13.08
38.0,-122.5,2020,185,15.43
38.0,-121.875,2020,185,18.61
