LAT,LON,YEAR,DOY,WS10M
32.5,-124.375,2020,183,8.09
32.5,-123.75,2020,183,7.96
32.5,-123.125,2020,183,7.79
32.5,-122.5,2020,183,7.51
32.5,-121.875,2020,183,7.23
32.5,-121.25,2020,183,6.67
32.5,-120.625,2020,183,6.12
32.5,-120.0,2020,183,5.44
33.0,-124.375,2020,183,8.62
33.0,-123.75,2020,183,8.47
33.0,-123.125,2020,183,8.24
33.0,-122.5,2020,183,7.92
33.0,-121.875,2020,183,7.54
33.0,-121.25,2020,183,6.88
33.0,-120.625,2020,183,6.22
33.0,-120.0,2020,183,5.34
33.5,-124.375,2020,183,9.14
33.5,-123.75,2020,183,8.98
33.5,-123.125,2020,183,8.64
33.5,-122.5,2020,183,8.18
33.5,-121.875,2020,183,7.66
33.5,-121.25,2020,183,6.94
33.5,-120.625,2020,183,6.25
33.5,-120.0,2020,183,5.22
34.0,-124.375,2020,183,9.67
34.0,-123.75,2020,183,9.47
34.0,-123.125,2020,183,8.99
34.0,-122.5,2020,183,8.4
34.0,-121.875,2020,183,7.74
34.0,-121.25,2020,183,6.83
34.0,-120.625,2020,183,5.75
34.0,-120.0,2020,183,3.65
34.5,-124.375,2020,183,10.13
34.5,-123.75,2020,183,9.94
34.5,-123.125,2020,183,9.41
34.5,-122.5,2020,183,8.66
34.5,-121.875,2020,183,7.75
34.5,-121.25,2020,183,6.51
34.5,-120.625,2020,183,4.58
34.5,-120.0,2020,183,2.72
35.0,-124.375,2020,183,10.62
35.0,-123.75,2020,183,10.47
35.0,-123.125,2020,183,9.94
35.0,-122.5,2020,183,9.13
35.0,-121.875,2020,183,7.94
35.0,-121.25,2020,183,5.43
35.0,-120.625,2020,183,3.44
35.0,-120.0,2020,183,3.58
35.5,-124.375,2020,183,11.2
35.5,-123.75,2020,183,10.96
35.5,-123.125,2020,183,10.24
35.5,-122.5,2020,183,9.3
35.5,-121.875,2020,183,7.27
35.5,-121.25,2020,183,3.63
35.5,-120.625,2020,183,4.28
35.5,-120.0,2020,183,5.11
36.0,-124.375,2020,183,11.77
36.0,-123.75,2020,183,11.44
36.0,-123.125,2020,183,10.38
36.0,-122.5,2020,183,8.38
36.0,-121.875,2020,183,5.38
36.0,-121.25,2020,183,3.44
36.0,-120.625,2020,183,3.81
36.0,-120.0,2020,183,4.16
36.5,-124.375,2020,183,11.99
36.5,-123.75,2020,183,11.84
36.5,-123.125,2020,183,10.55
36.5,-122.5,2020,183,7.66
36.5,-121.875,2020,183,3.38
36.5,-121.25,2020,183,3.81
36.5,-120.625,2020,183,3.37
36.5,-120.0,2020,183,2.79
37.0,-124.375,2020,183,11.76
37.0,-123.75,2020,183,12.32
37.0,-123.125,2020,183,10.41
37.0,-122.5,2020,183,6.82
37.0,-121.875,2020,183,2.72
37.0,-121.25,2020,183,4.77
37.0,-120.625,2020,183,4.03
37.0,-120.0,2020,183,2.64
37.5,-124.375,2020,183,11.88
37.5,-123.75,2020,183,12.77
37.5,-123.125,2020,183,9.81
37.5,-122.5,2020,183,5.13
37.5,-121.875,2020,183,4.47
37.5,-121.25,2020,183,4.09
37.5,-120.625,2020,183,3.08
37.5,-120.0,2020,183,2.57
38.0,-124.375,2020,183,12.56
38.0,-123.75,2020,183,12.67
38.0,-123.125,2020,183,8.07
38.0,-122.5,2020,183,3.49
38.0,-121.875,2020,183,5.14
38.0,-121.25,2020,183,3.76
38.0,-120.625,2020,183,2.38
38.0,-120.0,2020,183,2.63
38.5,-124.375,2020,183,13.14
38.5,-123.75,2020,183,11.27
38.5,-123.125,2020,183,5.12
38.5,-122.5,2020,183,2.57
38.5,-121.875,2020,183,3.5
38.5,-121.25,2020,183,3.09
38.5,-120.625,2020,183,2.64
38.5,-120.0,2020,183,2.22
39.0,-124.375,2020,183,13.4
39.0,-123.75,2020,183,7.33
39.0,-123.125,2020,183,2.3
