LAT,LON,YEAR,DOY,WS10M
32.5,-119.375,2023,152,6.93
32.5,-118.75,2023,152,6.13
32.5,-118.125,2023,152,4.88
32.5,-117.5,2023,152,3.89
32.5,-116.875,2023,152,3.95
32.5,-116.25,2023,152,5.2
32.5,-115.625,2023,152,5.5
32.5,-115.0,2023,152,3.05
32.5,-114.375,2023,152,2.97
33.0,-119.375,2023,152,6.74
33.0,-118.75,2023,152,5.77
33.0,-118.125,2023,152,4.43
33.0,-117.5,2023,152,3.89
33.0,-116.875,2023,152,4.66
33.0,-116.25,2023,152,6.55
33.0,-115.625,2023,152,5.9
33.0,-115.0,2023,152,5.09
33.0,-114.375,2023,152,4.38
33.5,-119.375,2023,152,6.58
33.5,-118.75,2023,152,5.24
33.5,-118.125,2023,152,4.02
33.5,-117.5,2023,152,3.52
33.5,-116.875,2023,152,3.59
33.5,-116.25,2023,152,4.93
33.5,-115.625,2023,152,4.63
33.5,-115.0,2023,152,5.02
33.5,-114.375,2023,152,4.67
34.0,-119.375,2023,152,5.13
34.0,-118.75,2023,152,4.04
34.0,-118.125,2023,152,3.33
34.0,-117.5,2023,152,3.15
34.0,-116.875,2023,152,3.92
34.0,-116.25,2023,152,4.65
34.0,-115.625,2023,152,3.79
34.0,-115.0,2023,152,3.59
34.0,-114.375,2023,152,3.94
34.5,-119.375,2023,152,1.46
34.5,-118.75,2023,152,2.99
34.5,-118.125,2023,152,4.29
34.5,-117.5,2023,152,4.73
34.5,-116.875,2023,152,5.65
34.5,-116.25,2023,152,5.65
34.5,-115.625,2023,152,4.58
34.5,-115.0,2023,152,4.0
34.5,-114.375,2023,152,3.24
35.0,-119.375,2023,152,2.26
35.0,-118.75,2023,152,3.15
35.0,-118.125,2023,152,5.01
35.0,-117.5,2023,152,6.93
35.0,-116.875,2023,152,6.95
35.0,-116.25,2023,152,5.04
35.0,-115.625,2023,152,4.3
35.0,-115.0,2023,152,4.46
35.0,-114.375,2023,152,3.38
35.5,-119.375,2023,152,3.44
35.5,-118.75,2023,152,3.26
35.5,-118.125,2023,152,5.44
35.5,-117.5,2023,152,5.98
35.5,-116.875,2023,152,7.15
35.5,-116.25,2023,152,5.5
35.5,-115.625,2023,152,4.62
35.5,-115.0,2023,152,4.31
35.5,-114.375,2023,152,4.22
36.0,-119.375,2023,152,2.94
36.0,-118.75,2023,152,2.26
36.0,-118.125,2023,152,3.67
36.0,-117.5,2023,152,3.55
36.0,-116.875,2023,152,4.51
36.0,-116.25,2023,152,4.95
36.0,-115.625,2023,152,4.14
36.0,-115.0,2023,152,3.53
36.0,-114.375,2023,152,3.94
36.5,-119.375,2023,152,2.26
36.5,-118.75,2023,152,1.67
36.5,-118.125,2023,152,3.15
36.5,-117.5,2023,152,2.49
36.5,-116.875,2023,152,3.76
36.5,-116.25,2023,152,4.62
36.5,-115.625,2023,152,3.7
36.5,-115.0,2023,152,3.17
36.5,-114.375,2023,152,3.24
37.0,-119.375,2023,152,1.97
37.0,-118.75,2023,152,2.19
37.0,-118.125,2023,152,2.42
37.0,-117.5,2023,152,2.29
37.0,-116.875,2023,152,3.71
37.0,-116.25,2023,152,4.36
37.0,-115.625,2023,152,3.63
37.0,-115.0,2023,152,3.25
37.0,-114.375,2023,152,2.64
37.5,-119.375,2023,152,2.12
37.5,-118.75,2023,152,2.79
37.5,-118.125,2023,152,2.43
37.5,-117.5,2023,152,2.86
37.5,-116.875,2023,152,3.08
37.5,-116.25,2023,152,3.97
37.5,-115.625,2023,152,3.37
37.5,-115.0,2023,152,2.5
37.5,-114.375,2023,152,2.64
38.0,-119.375,2023,152,2.49
38.0,-118.75,2023,152,2.21
38.0,-118.125,2023,152,2.48
38.0,-117.5,2023,152,3.31
38.0,-116.875,2023,152,3.23
38.0,-116.25,2023,152,2.98
38.0,-115.625,2023,152,2.97
38.0,-115.0,2023,152,2.43
38.0,-114.375,2023,152,2.56
38.5,-119.375,2023,152,2.06
38.5,-118.75,2023,152,1.8
38.5,-118.125,2023,152,2.59
38.5,-117.5,2023,152,2.88
38.5,-116.875,2023,152,2.94
38.5,-116.25,2023,152,1.93
38.5,-115.625,2023,152,2.35
38.5,-115.0,2023,152,2.53
38.5,-114.375,2023,152,2.64
39.0,-119.375,2023,152,1.84
39.0,-118.75,2023,152,2.09
39.0,-118.125,2023,152,2.27
39.0,-117.5,2023,152,2.27
39.0,-116.875,2023,152,2.43
39.0,-116.25,2023,152,1.89
39.0,-115.625,2023,152,2.28
39.0,-115.0,2023,152,2.15
39.0,-114.375,2023,152,2.18
39.5,-119.375,2023,152,2.33
39.5,-118.75,2023,152,2.24
39.5,-118.125,2023,152,1.74
39.5,-117.5,2023,152,1.67
39.5,-116.875,2023,152,2.06
39.5,-116.25,2023,152,2.02
39.5,-115.625,2023,152,1.99
39.5,-115.0,2023,152,1.69
39.5,-114.375,2023,152,1.55
40.0,-119.375,2023,152,2.33
40.0,-118.75,2023,152,2.2
40.0,-118.125,2023,152,1.55
40.0,-117.5,2023,152,1.61
40.0,-116.875,2023,152,1.82
40.0,-116.25,2023,152,2.1
40.0,-115.625,2023,152,1.57
40.0,-115.0,2023,152,1.45
40.0,-114.375,2023,152,1.35
40.5,-119.375,2023,152,1.96
40.5,-118.75,2023,152,2.1
40.5,-118.125,2023,152,1.85
40.5,-117.5,2023,152,1.89
40.5,-116.875,2023,152,1.88
40.5,-116.25,2023,152,2.02
40.5,-115.625,2023,152,1.86
40.5,-115.0,2023,152,1.75
40.5,-114.375,2023,152,1.96
41.0,-119.375,2023,152,2.13
41.0,-118.75,2023,152,1.94
41.0,-118.125,2023,152,2.24
41.0,-117.5,2023,152,2.21
41.0,-116.875,2023,152,2.19
41.0,-116.25,2023,152,2.16
41.0,-115.625,2023,152,2.26
41.0,-115.0,2023,152,2.33
41.0,-114.375,2023,152,2.85
41.5,-119.375,2023,152,2.41
41.5,-118.75,2023,152,2.42
41.5,-118.125,2023,152,2.56
41.5,-117.5,2023,152,2.57
41.5,-116.875,2023,152,2.47
41.5,-116.25,2023,152,1.99
41.5,-115.625,2023,152,2.07
41.5,-115.0,2023,152,2.61
41.5,-114.375,2023,152,3.33
42.0,-119.375,2023,152,2.87
42.0,-118.75,2023,152,2.76
42.0,-118.125,2023,152,2.8
42.0,-117.5,2023,152,2.76
42.0,-116.875,2023,152,2.62
42.0,-116.25,2023,152,2.39
42.0,-115.625,2023,152,2.38
42.0,-115.0,2023,152,2.66
42.0,-114.375,2023,152,3.08
32.5,-119.375,2023,153,6.6
32.5,-118.75,2023,153,5.69
32.5,-118.125,2023,153,4.14
32.5,-117.5,2023,153,3.48
32.5,-116.875,2023,153,3.38
32.5,-116.25,2023,153,4.62
32.5,-115.625,2023,153,3.96
32.5,-115.0,2023,153,2.63
32.5,-114.375,2023,153,2.42
33.0,-119.375,2023,153,6.41
33.0,-118.75,2023,153,5.33
33.0,-118.125,2023,153,3.89
33.0,-117.5,2023,153,3.51
33.0,-116.875,2023,153,4.4
33.0,-116.25,2023,153,5.89
33.0,-115.625,2023,153,5.13
33.0,-115.0,2023,153,3.79
33.0,-114.375,2023,153,3.13
33.5,-119.375,2023,153,6.32
33.5,-118.75,2023,153,5.13
33.5,-118.125,2023,153,3.93
33.5,-117.5,2023,153,3.35
33.5,-116.875,2023,153,3.12
33.5,-116.25,2023,153,4.06
33.5,-115.625,2023,153,3.94
33.5,-115.0,2023,153,4.39
33.5,-114.375,2023,153,4.07
34.0,-119.375,2023,153,4.88
34.0,-118.75,2023,153,3.67
34.0,-118.125,2023,153,3.08
34.0,-117.5,2023,153,2.89
34.0,-116.875,2023,153,3.2
34.0,-116.25,2023,153,3.96
34.0,-115.625,2023,153,3.41
34.0,-115.0,2023,153,3.42
34.0,-114.375,2023,153,3.79
34.5,-119.375,2023,153,1.3
34.5,-118.75,2023,153,2.21
34.5,-118.125,2023,153,3.41
34.5,-117.5,2023,153,3.85
34.5,-116.875,2023,153,4.63
34.5,-116.25,2023,153,4.49
34.5,-115.625,2023,153,3.66
34.5,-115.0,2023,153,3.56
34.5,-114.375,2023,153,3.56
35.0,-119.375,2023,153,2.38
35.0,-118.75,2023,153,2.89
35.0,-118.125,2023,153,3.82
35.0,-117.5,2023,153,5.35
35.0,-116.875,2023,153,5.49
35.0,-116.25,2023,153,3.92
35.0,-115.625,2023,153,3.33
35.0,-115.0,2023,153,4.13
35.0,-114.375,2023,153,3.94
35.5,-119.375,2023,153,3.25
35.5,-118.75,2023,153,2.97
35.5,-118.125,2023,153,4.03
35.5,-117.5,2023,153,4.36
35.5,-116.875,2023,153,5.47
35.5,-116.25,2023,153,4.28
35.5,-115.625,2023,153,3.75
35.5,-115.0,2023,153,4.0
35.5,-114.375,2023,153,4.21
36.0,-119.375,2023,153,3.13
36.0,-118.75,2023,153,2.33
36.0,-118.125,2023,153,3.38
36.0,-117.5,2023,153,3.28
36.0,-116.875,2023,153,3.67
36.0,-116.25,2023,153,3.86
36.0,-115.625,2023,153,3.37
36.0,-115.0,2023,153,3.53
36.0,-114.375,2023,153,4.11
36.5,-119.375,2023,153,2.0
36.5,-118.75,2023,153,1.66
36.5,-118.125,2023,153,2.77
36.5,-117.5,2023,153,2.13
36.5,-116.875,2023,153,3.31
36.5,-116.25,2023,153,3.75
36.5,-115.625,2023,153,2.93
36.5,-115.0,2023,153,2.81
36.5,-114.375,2023,153,3.33
37.0,-119.375,2023,153,2.1
37.0,-118.75,2023,153,2.32
37.0,-118.125,2023,153,2.28
37.0,-117.5,2023,153,1.8
37.0,-116.875,2023,153,3.19
37.0,-116.25,2023,153,3.48
37.0,-115.625,2023,153,3.02
37.0,-115.0,2023,153,2.68
37.0,-114.375,2023,153,2.35
37.5,-119.375,2023,153,2.23
37.5,-118.75,2023,153,2.61
37.5,-118.125,2023,153,1.9
37.5,-117.5,2023,153,2.06
37.5,-116.875,2023,153,2.92
37.5,-116.25,2023,153,3.07
37.5,-115.625,2023,153,3.41
37.5,-115.0,2023,153,3.31
37.5,-114.375,2023,153,2.22
38.0,-119.375,2023,153,2.27
38.0,-118.75,2023,153,1.79
38.0,-118.125,2023,153,1.58
38.0,-117.5,2023,153,2.13
38.0,-116.875,2023,153,2.82
38.0,-116.25,2023,153,2.8
38.0,-115.625,2023,153,2.55
38.0,-115.0,2023,153,2.87
38.0,-114.375,2023,153,2.23
38.5,-119.375,2023,153,2.0
38.5,-118.75,2023,153,2.0
38.5,-118.125,2023,153,2.43
38.5,-117.5,2023,153,2.47
38.5,-116.875,2023,153,2.53
38.5,-116.25,2023,153,1.91
38.5,-115.625,2023,153,1.65
38.5,-115.0,2023,153,1.97
38.5,-114.375,2023,153,1.98
39.0,-119.375,2023,153,2.23
39.0,-118.75,2023,153,2.61
39.0,-118.125,2023,153,2.58
39.0,-117.5,2023,153,2.49
39.0,-116.875,2023,153,2.6
39.0,-116.25,2023,153,2.22
39.0,-115.625,2023,153,1.87
39.0,-115.0,2023,153,1.94
39.0,-114.375,2023,153,1.79
39.5,-119.375,2023,153,2.44
39.5,-118.75,2023,153,2.03
39.5,-118.125,2023,153,2.27
39.5,-117.5,2023,153,2.65
39.5,-116.875,2023,153,2.87
39.5,-116.25,2023,153,2.53
39.5,-115.625,2023,153,2.16
39.5,-115.0,2023,153,2.21
39.5,-114.375,2023,153,1.53
40.0,-119.375,2023,153,2.38
40.0,-118.75,2023,153,2.28
40.0,-118.125,2023,153,2.35
40.0,-117.5,2023,153,2.4
40.0,-116.875,2023,153,2.73
40.0,-116.25,2023,153,2.43
40.0,-115.625,2023,153,2.27
40.0,-115.0,2023,153,2.45
40.0,-114.375,2023,153,2.18
40.5,-119.375,2023,153,1.87
40.5,-118.75,2023,153,2.28
40.5,-118.125,2023,153,2.24
40.5,-117.5,2023,153,2.24
40.5,-116.875,2023,153,2.25
40.5,-116.25,2023,153,2.17
40.5,-115.625,2023,153,2.2
40.5,-115.0,2023,153,2.52
40.5,-114.375,2023,153,2.99
41.0,-119.375,2023,153,1.97
41.0,-118.75,2023,153,1.97
41.0,-118.125,2023,153,1.88
41.0,-117.5,2023,153,1.84
41.0,-116.875,2023,153,2.06
41.0,-116.25,2023,153,2.32
41.0,-115.625,2023,153,2.26
41.0,-115.0,2023,153,2.6
41.0,-114.375,2023,153,3.27
41.5,-119.375,2023,153,2.3
41.5,-118.75,2023,153,2.16
41.5,-118.125,2023,153,1.7
41.5,-117.5,2023,153,1.63
41.5,-116.875,2023,153,1.84
41.5,-116.25,2023,153,2.16
41.5,-115.625,2023,153,2.37
41.5,-115.0,2023,153,2.57
41.5,-114.375,2023,153,3.09
42.0,-119.375,2023,153,2.51
42.0,-118.75,2023,153,2.37
42.0,-118.125,2023,153,2.07
42.0,-117.5,2023,153,2.1
42.0,-116.875,2023,153,2.24
42.0,-116.25,2023,153,2.36
42.0,-115.625,2023,153,2.6
42.0,-115.0,2023,153,2.71
42.0,-114.375,2023,153,2.98
32.5,-119.375,2023,154,5.61
32.5,-118.75,2023,154,4.84
32.5,-118.125,2023,154,3.37
32.5,-117.5,2023,154,3.01
32.5,-116.875,2023,154,2.82
32.5,-116.25,2023,154,3.4
32.5,-115.625,2023,154,3.6
32.5,-115.0,2023,154,2.51
32.5,-114.375,2023,154,2.27
33.0,-119.375,2023,154,5.48
33.0,-118.75,2023,154,4.75
33.0,-118.125,2023,154,3.3
33.0,-117.5,2023,154,3.17
33.0,-116.875,2023,154,3.62
33.0,-116.25,2023,154,4.73
33.0,-115.625,2023,154,3.86
33.0,-115.0,2023,154,3.11
33.0,-114.375,2023,154,2.91
33.5,-119.375,2023,154,5.47
33.5,-118.75,2023,154,4.27
33.5,-118.125,2023,154,3.19
33.5,-117.5,2023,154,3.08
33.5,-116.875,2023,154,2.27
33.5,-116.25,2023,154,3.27
33.5,-115.625,2023,154,2.86
33.5,-115.0,2023,154,3.25
33.5,-114.375,2023,154,2.93
34.0,-119.375,2023,154,3.17
34.0,-118.75,2023,154,3.1
34.0,-118.125,2023,154,2.12
34.0,-117.5,2023,154,2.25
34.0,-116.875,2023,154,2.44
34.0,-116.25,2023,154,3.48
34.0,-115.625,2023,154,3.26
34.0,-115.0,2023,154,3.13
34.0,-114.375,2023,154,2.73
34.5,-119.375,2023,154,1.69
34.5,-118.75,2023,154,1.94
34.5,-118.125,2023,154,2.77
34.5,-117.5,2023,154,2.72
34.5,-116.875,2023,154,3.43
34.5,-116.25,2023,154,3.59
34.5,-115.625,2023,154,3.52
34.5,-115.0,2023,154,3.31
34.5,-114.375,2023,154,3.01
35.0,-119.375,2023,154,2.34
35.0,-118.75,2023,154,2.22
35.0,-118.125,2023,154,3.21
35.0,-117.5,2023,154,3.57
35.0,-116.875,2023,154,3.87
35.0,-116.25,2023,154,2.44
35.0,-115.625,2023,154,3.09
35.0,-115.0,2023,154,3.45
35.0,-114.375,2023,154,2.82
35.5,-119.375,2023,154,3.44
35.5,-118.75,2023,154,2.38
35.5,-118.125,2023,154,3.54
35.5,-117.5,2023,154,3.27
35.5,-116.875,2023,154,3.17
35.5,-116.25,2023,154,2.32
35.5,-115.625,2023,154,2.41
35.5,-115.0,2023,154,2.82
35.5,-114.375,2023,154,2.6
36.0,-119.375,2023,154,2.63
36.0,-118.75,2023,154,2.87
36.0,-118.125,2023,154,3.15
36.0,-117.5,2023,154,2.64
36.0,-116.875,2023,154,2.25
36.0,-116.25,2023,154,2.46
36.0,-115.625,2023,154,2.62
36.0,-115.0,2023,154,2.65
36.0,-114.375,2023,154,2.7
