date,lat,lon,incident_id
2023-07-11,38.176121,-122.451347,{ABCF98EB-1CDE-4910-B328-97BE190F4101}
2023-07-11,41.208477,-121.157965,{8F9B568B-EA92-42EB-8BDB-09ACE58F425E}
2023-07-11,33.92941,-118.23803,{E0C12836-D493-48F8-8BF1-3481D84C5D7F}
2023-07-11,36.702684,-119.060268,{BAA52297-40C6-4B0D-9664-390542261BAC}
2023-07-11,34.07634,-118.03582,{36F9E423-B25A-4160-BCA2-45D8AE1975BA}
2023-07-11,36.955556,-120.039955,{2184C1E3-0462-41BF-9CFB-9D09D28E3280}
2023-07-11,34.00007,-118.17549,{C76DEE9A-F4B6-47A3-AA93-9826652E8966}
2023-07-11,33.734136,-117.262398,{1FE8647D-4534-4177-8AAD-4C0B155E3258}
2023-07-11,33.73394,-117.2623,{DCFD4316-A87B-4BBC-8B15-6315DFB62EB3}
2023-07-11,35.585201,-120.696026,{DE52AF0C-14AF-4C35-A8F1-09CA3BA4CF95}
2023-07-11,32.671843,-116.48841,{8CA7DD24-480E-4248-8793-41A1BC96A8C5}
2023-07-11,34.07295,-117.7783,{AC69673D-2E42-4034-93CD-697953D7335C}
2023-07-11,37.419347,-119.91008,{90726CBA-DD3C-46A0-B7F9-B2BB9E81652C}
2023-07-11,36.89077,-120.672299,{6AFE9388-6822-426A-8060-C8662F9599DB}
2023-07-11,33.633162,-117.230433,{5D9B7857-88F6-4E23-AFF0-67E234CF5F28}
2023-07-11,39.237913,-120.031526,{A5A064EE-2724-4480-A01B-0A98C38BB4AB}
2023-07-11,37.069741,-120.753389,{FEDF1A5A-03DF-4D88-9848-6548E885D077}
2023-07-11,33.92505,-118.3265,{FDF9A50E-32E4-4B51-A14F-C65737462BE7}
2023-07-11,34.67898,-118.28906,{BD8ABE97-24AD-4877-9691-09F671D28829}
2023-07-11,33.781131,-117.24332,{62B5FE27-1AC7-490B-9D1C-E41DDE37B0EB}
2023-07-11,37.138491,-121.6654,{567B2CBC-1036-477B-B955-1318269B633E}
2023-07-11,40.236594,-120.455077,{1E7AC231-D89D-4EC0-B126-E4481A84CEF5}
2023-07-11,33.276863,-116.866289,{DD1751D3-6288-4F2C-9222-931FE60A32D8}
2023-07-11,34.5802,-118.05822,{0BD6688D-51E7-4593-A649-1D079631941A}
2023-07-11,33.785309,-117.256858,{6DF22BB8-B84B-40F6-9F1A-9D995D2FBF1D}
2023-07-11,36.611918,-119.534382,{6B29AFDD-10E7-433D-9F94-CE83BBA8C096}
