date,lat,lon,confidence
2023-07-01,40.73793,-122.32553,66
2023-07-01,38.56992,-120.43704,66
2023-07-01,38.06268,-119.92284,66
2023-07-01,38.05912,-119.92391,66
2023-07-01,38.05811,-119.91862,66
2023-07-01,38.05558,-119.92506,66
2023-07-01,38.05204,-119.92621,66
2023-07-01,38.05103,-119.92091,66
2023-07-01,38.04851,-119.9274,66
2023-07-01,38.0475,-119.92215,66
2023-07-01,38.04396,-119.92332,66
2023-07-01,38.21678,-121.98554,66
2023-07-01,38.30183,-122.74944,66
2023-07-01,38.16172,-122.56721,66
2023-07-01,38.07037,-122.13995,66
2023-07-01,37.81364,-120.7565,66
2023-07-01,37.88495,-121.18747,66
2023-07-01,38.00341,-121.93543,66
2023-07-01,37.75404,-121.65955,66
2023-07-01,37.38901,-120.50127,66
2023-07-01,37.45629,-121.93217,66
2023-07-01,37.21168,-121.90372,66
2023-07-01,36.04836,-118.98479,66
2023-07-01,36.04453,-118.98601,66
2023-07-01,36.04831,-118.98568,66
2023-07-01,34.62122,-117.09934,66
2023-07-01,34.60942,-117.33576,66
2023-07-01,34.35439,-116.85302,66
2023-07-01,33.71001,-114.52215,66
2023-07-01,33.70963,-114.54253,90
2023-07-01,33.70492,-114.52396,66
2023-07-01,33.71057,-114.54626,66
2023-07-01,33.70921,-114.52137,90
2023-07-01,33.70964,-114.54556,66
2023-07-01,33.70872,-114.54184,90
2023-07-01,33.70413,-114.52319,66
2023-07-01,34.14232,-117.42963,66
2023-07-01,34.3353,-118.52122,66
2023-07-01,34.32016,-118.51117,66
2023-07-01,34.2437,-118.38256,66
2023-07-01,34.15451,-118.1925,66
2023-07-01,33.79414,-117.47444,66
2023-07-01,41.59404,-123.269,66
2023-07-01,38.05667,-119.92046,66
2023-07-01,38.06166,-119.91489,66
2023-07-01,38.06111,-119.9212,66
2023-07-01,39.66009,-121.89211,66
2023-07-02,40.9045,-122.82883,66
2023-07-02,38.71424,-121.49229,66
2023-07-02,38.06411,-119.91829,66
2023-07-02,38.06148,-119.92344,66
2023-07-02,38.06082,-119.91909,66
2023-07-02,38.05819,-119.92424,66
2023-07-02,38.05753,-119.91988,66
2023-07-02,38.05489,-119.92503,66
2023-07-02,38.05423,-119.92066,66
2023-07-02,38.05159,-119.92581,66
2023-07-02,38.31405,-121.83284,66
2023-07-02,38.21568,-121.98394,66
2023-07-02,38.30214,-122.75005,66
2023-07-02,38.29971,-122.74709,66
2023-07-02,38.16142,-122.56422,66
2023-07-02,38.06995,-122.13776,66
2023-07-02,38.00396,-121.93388,66
2023-07-02,37.88468,-121.18358,66
2023-07-02,37.88131,-121.18433,66
2023-07-02,37.75491,-121.66225,66
2023-07-02,37.45646,-121.93143,66
2023-07-02,37.45303,-121.93217,66
2023-07-02,37.21367,-121.90186,66
2023-07-02,37.18309,-121.68063,66
2023-07-02,36.46689,-119.48968,66
2023-07-02,34.62176,-117.10285,66
2023-07-02,34.60951,-117.33726,66
2023-07-02,34.43042,-118.64361,66
2023-07-02,34.33577,-118.51922,66
2023-07-02,34.14196,-117.42987,66
2023-07-02,34.32314,-118.52705,66
2023-07-02,34.24151,-118.38125,66
2023-07-02,34.2926,-118.8007,66
2023-07-02,34.28926,-118.80148,66
2023-07-02,34.11495,-117.92377,66
2023-07-02,34.15228,-118.19356,66
2023-07-02,34.04097,-117.82298,66
2023-07-02,33.87668,-117.00044,66
2023-07-02,34.03412,-118.10501,66
2023-07-02,33.79276,-117.47656,66
2023-07-02,33.85212,-118.33108,66
2023-07-02,33.71494,-117.71025,66
2023-07-02,32.59627,-117.01072,66
2023-07-02,36.37459,-121.26442,66
2023-07-02,38.0514,-119.92678,66
2023-07-02,38.05083,-119.92461,66
2023-07-02,38.06202,-119.92161,66
2023-07-02,38.10729,-120.78363,90
2023-07-02,38.11072,-120.78432,90
2023-07-02,38.1101,-120.78905,90
2023-07-02,38.06433,-121.49546,66
2023-07-03,38.05948,-119.92216,66
2023-07-03,38.0626,-119.9233,66
2023-07-03,38.05874,-119.92398,66
2023-07-03,38.05487,-119.92457,66
2023-07-03,38.05099,-119.92513,66
2023-07-03,38.17471,-121.65999,66
2023-07-03,38.06191,-121.49875,66
2023-07-03,38.06145,-121.4939,66
2023-07-03,38.07203,-122.1396,66
2023-07-03,37.88296,-121.1856,66
2023-07-03,37.88147,-121.18739,66
2023-07-03,37.94981,-122.40128,66
2023-07-03,37.4555,-121.93215,66
2023-07-03,35.62764,-118.95983,66
2023-07-03,35.627,-118.95471,66
2023-07-03,35.62404,-118.96047,66
2023-07-03,35.62341,-118.95539,66
2023-07-03,35.61981,-118.95606,66
2023-07-03,35.62045,-118.96116,66
2023-07-03,35.32662,-118.98744,66
2023-07-03,35.02832,-118.3151,66
2023-07-03,38.06099,-121.48904,66
2023-07-03,38.55748,-121.52322,66
2023-07-03,38.31483,-121.83549,66
2023-07-03,38.06334,-119.92149,66
2023-07-03,34.6206,-117.09865,66
2023-07-03,34.60884,-117.33608,66
2023-07-03,34.4288,-118.64476,66
2023-07-03,34.33334,-118.51971,66
2023-07-03,34.32347,-118.52617,66
2023-07-03,34.31817,-118.51326,66
2023-07-03,34.24358,-118.38137,66
2023-07-03,34.29156,-118.8043,66
2023-07-03,34.15305,-118.19473,66
2023-07-03,34.0394,-117.8213,66
2023-07-03,34.03671,-118.10557,66
2023-07-03,33.87632,-116.9978,66
2023-07-03,33.79517,-117.47431,66
2023-07-03,33.79181,-117.47502,66
2023-07-03,33.54074,-116.02924,66
2023-07-03,33.71714,-117.71091,66
2023-07-03,38.05713,-119.92196,66
2023-07-03,38.05639,-119.92645,66
2023-07-03,38.06044,-119.92285,66
2023-07-03,38.05308,-119.92553,66
2023-07-04,38.05912,-119.92337,66
2023-07-04,38.05463,-119.93189,66
2023-07-04,38.05019,-119.93096,66
2023-07-04,38.04013,-119.93166,66
2023-07-04,38.0592,-121.49341,66
2023-07-04,38.01541,-122.11477,66
2023-07-04,37.88156,-121.18784,66
2023-07-04,36.54,-120.28725,66
2023-07-04,34.60774,-117.33524,66
2023-07-04,34.33393,-118.5225,66
2023-07-04,34.1528,-118.19472,66
2023-07-04,33.79435,-117.47562,66
2023-07-04,38.05896,-119.92664,66
2023-07-04,38.05311,-119.92978,66
2023-07-04,38.06065,-119.92241,66
2023-07-04,38.05626,-119.93047,66
2023-07-04,38.05475,-119.92536,66
2023-07-04,36.93576,-120.22482,66
2023-07-04,35.82228,-120.28217,66
2023-07-04,38.04833,-119.92747,66
2023-07-04,38.05217,-119.92901,66
2023-07-04,38.05736,-119.92396,66
2023-07-04,38.05599,-119.93066,66
2023-07-04,38.06121,-119.92546,66
2023-07-04,38.06507,-119.92691,66
2023-07-04,38.05907,-119.9251,66
2023-07-04,38.0629,-119.92669,66
2023-07-05,38.05648,-119.934,66
2023-07-05,38.05,-119.93405,66
2023-07-05,38.04351,-119.93331,66
2023-07-05,38.04966,-119.93304,66
2023-07-05,38.04316,-119.93222,66
2023-07-05,36.33735,-119.27779,66
2023-07-05,34.60579,-117.33835,66
2023-07-05,34.33607,-118.52267,66
2023-07-05,33.66053,-114.52044,66
2023-07-05,38.06327,-119.92845,66
2023-07-05,38.05854,-119.93053,66
2023-07-05,38.05373,-119.93234,66
2023-07-05,38.05224,-119.92641,66
2023-07-05,38.04894,-119.93423,66
2023-07-05,38.04755,-119.92867,66
2023-07-05,38.04414,-119.93609,66
2023-07-05,38.31328,-121.83358,66
2023-07-05,37.87598,-120.47716,66
2023-07-05,37.87128,-120.47894,66
2023-07-05,36.90143,-120.13437,66
2023-07-05,34.60876,-117.33858,66
