LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
37.5,-120.0,18.31,2020-06-01,92.49,1.48,0.05,59.99
38.0,-124.375,13.32,2020-06-01,101.68,7.98,0.11,88.25
38.0,-123.75,12.42,2020-06-01,101.61,6.68,0.02,94.11
38.0,-123.125,13.3,2020-06-01,101.25,4.84,0.07,88.25
38.0,-122.5,16.03,2020-06-01,100.47,3.3,0.05,74.08
38.0,-121.875,17.93,2020-06-01,100.21,4.03,0.0,65.76
38.0,-121.25,20.75,2020-06-01,100.24,3.37,0.01,54.0
38.0,-120.625,20.2,2020-06-01,95.94,1.75,0.03,55.89
38.0,-120.0,13.58,2020-06-01,84.8,1.78,0.04,68.18
38.5,-124.375,13.08,2020-06-01,101.65,8.34,0.01,89.35
38.5,-123.75,12.68,2020-06-01,101.15,6.58,0.0,91.19
38.5,-123.125,15.22,2020-06-01,99.44,3.07,0.0,75.5
38.5,-122.5,18.27,2020-06-01,98.3,2.58,0.0,60.81
38.5,-121.875,20.55,2020-06-01,100.53,3.25,0.0,54.62
38.5,-121.25,21.14,2020-06-01,99.88,2.81,0.03,54.42
38.5,-120.625,17.48,2020-06-01,91.43,1.92,0.12,63.02
38.5,-120.0,11.18,2020-06-01,80.5,2.0,0.19,72.84
39.0,-124.375,13.18,2020-06-01,101.61,8.77,0.01,89.17
39.0,-123.75,13.71,2020-06-01,99.83,4.2,0.03,82.5
39.0,-123.125,16.78,2020-06-01,95.75,1.37,0.02,66.09
39.0,-122.5,19.81,2020-06-01,96.58,2.13,0.01,55.09
39.0,-121.875,22.76,2020-06-01,100.63,2.74,0.01,47.27
39.0,-121.25,21.4,2020-06-01,97.89,2.54,0.07,51.29
39.0,-120.625,15.33,2020-06-01,87.56,1.76,0.26,67.94
39.0,-120.0,12.15,2020-06-01,80.85,2.32,0.33,70.61
39.5,-124.375,13.09,2020-06-01,101.48,8.55,0.02,90.14
39.5,-123.75,14.01,2020-06-01,98.65,2.39,0.17,82.15
39.5,-123.125,15.93,2020-06-01,91.81,1.05,0.15,65.58
39.5,-122.5,20.73,2020-06-01,96.62,1.47,0.08,54.99
39.5,-121.875,23.88,2020-06-01,100.01,2.68,0.04,43.88
39.5,-121.25,19.21,2020-06-01,93.19,2.06,0.11,57.62
39.5,-120.625,13.3,2020-06-01,84.24,1.53,0.29,73.43
39.5,-120.0,13.6,2020-06-01,82.23,2.12,0.41,66.65
40.0,-124.375,12.87,2020-06-01,100.87,7.34,0.06,89.68
40.0,-123.75,14.42,2020-06-01,96.12,1.51,0.41,81.95
40.0,-123.125,14.81,2020-06-01,89.7,0.89,0.35,72.75
40.0,-122.5,20.44,2020-06-01,96.66,1.6,0.15,57.9
40.0,-121.875,21.14,2020-06-01,95.99,2.34,0.24,52.96
40.0,-121.25,14.75,2020-06-01,86.51,1.63,0.38,68.83
40.0,-120.625,13.55,2020-06-01,83.78,1.82,0.33,70.2
40.0,-120.0,15.53,2020-06-01,84.39,1.96,0.38,61.32
40.5,-124.375,12.43,2020-06-01,100.06,5.77,0.08,90.21
40.5,-123.75,14.38,2020-06-01,93.89,1.19,0.71,82.17
40.5,-123.125,14.89,2020-06-01,89.97,0.85,0.8,77.4
40.5,-122.5,19.46,2020-06-01,96.07,0.96,0.82,65.7
40.5,-121.875,17.16,2020-06-01,91.79,1.53,0.93,68.33
40.5,-121.25,12.19,2020-06-01,82.96,1.71,0.72,73.71
40.5,-120.625,14.4,2020-06-01,83.78,2.04,0.5,64.34
