incident_id,date,lat,lon,state,type
{000541A7-AEEC-4C38-8871-41821CC77721},2023-07-09,33.91444,-118.18403,US-CA,WF
{001F87B2-0561-4271-B93D-E275AD576859},2023-07-08,37.423341,-120.767423,US-CA,WF
{00204713-0187-4BC0-BB37-44178A8FD631},2023-07-14,36.426179,-121.312937,US-CA,WF
{0032641F-8CC2-47A1-9425-F8257E0A2E57},2023-07-04,33.837029,-117.305092,US-CA,WF
{0036B445-F15F-4432-9DD2-480F2CA92938},2023-07-07,36.965999,-120.65149,US-CA,WF
{003D15D8-C63D-4E55-9362-AA2A8C112873},2023-07-04,34.578,-118.18172,US-CA,WF
{0047F5BE-6C0E-4A47-92D0-97F028CFAAE0},2023-07-14,37.483283,-121.213617,US-CA,WF
{0053DD92-F9BD-4F1D-B0D6-506B3FF9E4AA},2023-07-28,37.975316,-120.350322,US-CA,WF
{00639A52-C73A-463B-8627-DF0ACCB86A71},2023-07-01,33.60271,-114.640278,US-CA,WF
{008624DD-A00F-46AB-84ED-C71771461172},2023-07-30,36.97456,-120.076236,US-CA,WF
{00C15CFF-17F0-4763-8615-9C1CEDDD23A8},2023-07-11,36.882667,-119.204578,US-CA,WF
{00D1B791-22E3-4FEE-AD2E-2D422F86C57F},2023-07-19,32.852041,-116.863366,US-CA,WF
{00DF55CC-1155-41E1-8523-208F62E4009D},2023-07-01,33.82544,-118.2283,US-CA,WF
{00F9AE0B-56A0-4358-BE94-81E2E456E90E},2023-07-14,33.97467,-118.1246,US-CA,WF
{00FC9E4E-AFB9-4C0B-9E03-770B79B709B3},2023-07-07,38.2482,-120.844123,US-CA,WF
{01067AA7-074A-441A-B36A-4BCC7339E8C4},2023-07-08,33.97004,-116.490056,US-CA,WF
{012299A8-042A-4945-91BA-351C1FFDE965},2023-07-13,33.937644,-116.964368,US-CA,WF
{0122B5F7-D765-431D-94C0-ECA12D692156},2023-07-05,38.802508,-123.015962,US-CA,WF
{0137DE60-7926-4E90-8573-C04CB05B0D07},2023-07-01,34.280277,-117.335833,US-CA,WF
{014308D1-2B90-4D03-9650-96A63818A15F},2023-07-14,33.94658,-117.298221,US-CA,WF
{016ECF20-66EF-4BD8-BEEF-E14FFD2E4E07},2023-07-01,33.92687,-117.96791,US-CA,WF
{0180D8D4-A10E-416D-AA8B-18AAFC99B347},2023-07-24,33.815678,-117.208605,US-CA,WF
{01885DEE-2CEC-49C2-AB6F-B51EBFD4C08F},2023-07-27,38.966427,-122.643025,US-CA,WF
{01A1ADB4-9FC6-4C18-A61E-25685F5BF609},2023-07-08,34.82053,-118.8792,US-CA,WF
{01F0C383-ACD3-494A-8409-01493AE86C7B},2023-07-23,33.768084,-117.093287,US-CA,WF
