grid_id,lon,lat
CA5K_00000,-124.35039741518474,40.26635259515791
CA5K_00001,-124.34849983611718,40.3020542808018
CA5K_00002,-124.35397335203535,40.35353162485121
CA5K_00003,-124.36566032744305,40.40049243754804
CA5K_00004,-124.37730714839476,40.44074813235445
CA5K_00005,-124.37112282175397,40.484849773131
CA5K_00006,-124.36688523460694,40.525024349743354
CA5K_00007,-124.35873885708197,40.556231556494716
CA5K_00008,-124.29745902791113,40.22526451924363
CA5K_00009,-124.31058064014121,40.2632397191015
CA5K_00010,-124.31335157867161,40.308127669373185
CA5K_00011,-124.31602875049573,40.35310182991602
CA5K_00012,-124.31870924536884,40.398077565354114
CA5K_00013,-124.32139306947752,40.44305490703393
CA5K_00014,-124.32408022902383,40.48803388637451
CA5K_00015,-124.3267707302252,40.53301453486765
CA5K_00016,-124.32487062965687,40.57625325339175
CA5K_00017,-124.31513980830916,40.6183553529525
CA5K_00018,-124.30599180537166,40.64911914090638
CA5K_00019,-124.23728080701035,40.18591054958926
CA5K_00020,-124.249282151196,40.220238780061955
CA5K_00021,-124.25194456567456,40.26518727841842
CA5K_00022,-124.25458208776125,40.31016122680325
CA5K_00023,-124.25722288183867,40.35513672187756
CA5K_00024,-124.25986695399513,40.40011379492477
CA5K_00025,-124.26251431033403,40.44509247730039
CA5K_00026,-124.26516495697389,40.490072800432394
CA5K_00027,-124.26781890004848,40.535054795821864
CA5K_00028,-124.27047614570684,40.58003849504302
CA5K_00029,-124.2731367001132,40.6250239297438
CA5K_00030,-124.27110838674632,40.667898315313764
CA5K_00031,-124.25908849881984,40.706342788024934
CA5K_00032,-124.17608376012366,40.141361115786204
CA5K_00033,-124.18769866633849,40.17749811905808
CA5K_00034,-124.19061017965397,40.22221790299799
CA5K_00035,-124.19320814170908,40.267191646231424
CA5K_00036,-124.19580932486267,40.312166907960815
CA5K_00037,-124.19841373510508,40.357143719406814
CA5K_00038,-124.20102137844152,40.40212211186168
CA5K_00039,-124.20363226089206,40.44710211668983
CA5K_00040,-124.20624638849172,40.492083765328225
CA5K_00041,-124.2088637672906,40.53706708928678
CA5K_00042,-124.21148440335367,40.58205212014888
CA5K_00043,-124.21410830276116,40.62703888957151
CA5K_00044,-124.21673547160832,40.67202742928615
CA5K_00045,-124.21924337141441,40.71693584557866
CA5K_00046,-124.21329360603126,40.75934300115243
CA5K_00047,-124.20198012640283,40.794910150079396
CA5K_00048,-124.25235721006206,41.7756301403274
CA5K_00049,-124.2538435242605,41.78108710645141
CA5K_00050,-124.10511495018497,40.10412762421564
CA5K_00051,-124.12579849751721,40.135298703953296
CA5K_00052,-124.1293483430885,40.17921957281804
CA5K_00053,-124.1319068346821,40.22419311797891
CA5K_00054,-124.13446849664759,40.26916815345475
CA5K_00055,-124.13703333487777,40.31414471040339
CA5K_00056,-124.13960135527998,40.359122820054175
CA5K_00057,-124.1421725637763,40.404102513708075
CA5K_00058,-124.14474696630346,40.449083822738366
CA5K_00059,-124.1473245688129,40.49406677859071
CA5K_00060,-124.14990537727095,40.53905141278403
CA5K_00061,-124.15248939765866,40.584037756910455
CA5K_00062,-124.15507663597197,40.62902584263603
CA5K_00063,-124.15766709822181,40.67401570170119
CA5K_00064,-124.16026079043404,40.71900736592087
CA5K_00065,-124.16285771864955,40.76400086718533
CA5K_00066,-124.1645447082839,40.80843573655787
CA5K_00067,-124.15566216332276,40.85101636067268
CA5K_00068,-124.14653370539335,40.889615614010225
CA5K_00069,-124.15129077943864,41.054121393427856
CA5K_00070,-124.1550643979186,41.08500690023642
CA5K_00071,-124.15775478918606,41.12253304261327
CA5K_00072,-124.21095633995847,41.76315127649358
CA5K_00073,-124.21821075690274,41.79730280350536
CA5K_00074,-124.20894767853711,41.842287851385166
CA5K_00075,-124.2041149469303,41.88618000513661
CA5K_00076,-124.20440694542947,41.93788865410201
CA5K_00077,-124.20605497035477,41.98067246544363
CA5K_00078,-124.04136121321989,40.01983061833875
CA5K_00079,-124.05678241627724,40.046696196560895
CA5K_00080,-124.06447095328924,40.09205237112447
CA5K_00081,-124.06815897839772,40.136192317434315
CA5K_00082,-124.07067808896393,40.18116567167362
CA5K_00083,-124.07320031934077,40.22614048805912
CA5K_00084,-124.07572567532388,40.271116797686446
CA5K_00085,-124.07825416272321,40.31609463172189
CA5K_00086,-124.0807857873632,40.36107402140352
CA5K_00087,-124.08332055508268,40.40605499804084
CA5K_00088,-124.08585847173501,40.45103759301565
CA5K_00089,-124.088399543188,40.49602183778257
CA5K_00090,-124.09094377532415,40.54100776386904
CA5K_00091,-124.09349117404047,40.58599540287607
CA5K_00092,-124.09604174524875,40.630984786478514
CA5K_00093,-124.09859549487541,40.67597594642565
CA5K_00094,-124.10115242886171,40.720968914541295
CA5K_00095,-124.1037125531636,40.76596372272467
CA5K_00096,-124.10627587375205,40.81096040295042
CA5K_00097,-124.10884239661274,40.85595898726934
CA5K_00098,-124.11123766526516,40.90084751605234
CA5K_00099,-124.10794184474089,40.94486070937115
CA5K_00100,-124.10282942070441,40.98988551397823
CA5K_00101,-124.10649500872599,41.039480322480536
CA5K_00102,-124.12167479523924,41.08101453730118
CA5K_00103,-124.12363242715992,41.12548609414531
CA5K_00104,-124.11489852908491,41.168776948918996
CA5K_00105,-124.1069540109843,41.21155376642207
CA5K_00106,-124.10327418057501,41.24475052945715
CA5K_00107,-124.13201404989218,41.672104649987766
CA5K_00108,-124.13821503207637,41.71461311557488
CA5K_00109,-124.15945201832777,41.75817707464042
CA5K_00110,-124.16348986322083,41.801426697192326
CA5K_00111,-124.16612838122764,41.84647544000015
CA5K_00112,-124.16877024340107,41.891526846097555
CA5K_00113,-124.17141545609883,41.93658094949791
CA5K_00114,-124.17426084793345,41.97849197922735
CA5K_00115,-123.98117179793464,39.97044876341645
CA5K_00116,-123.99854814295321,40.0056638521744
CA5K_00117,-124.00456525283593,40.04816439873902
CA5K_00118,-124.00704200794323,40.09313616625243
CA5K_00119,-124.00952182678,40.1381093367928
CA5K_00120,-124.01200471503117,40.183083941323254
CA5K_00121,-124.01449067839559,40.228060010876945
CA5K_00122,-124.01697972258629,40.27303757655797
CA5K_00123,-124.01947185333042,40.31801666954102
CA5K_00124,-124.02196707636935,40.36299732107246
CA5K_00125,-124.0244653974587,40.40797956247048
CA5K_00126,-124.0269668223683,40.45296342512539
CA5K_00127,-124.0294713568824,40.49794894050034
CA5K_00128,-124.03197900679957,40.54293614013139
CA5K_00129,-124.03448977793282,40.5879250556282
CA5K_00130,-124.03700367610959,40.632915718674305
CA5K_00131,-124.03952070717189,40.67790816102773
CA5K_00132,-124.04204087697619,40.72290241452112
CA5K_00133,-124.04456419139368,40.767898511062405
CA5K_00134,-124.04709065631005,40.81289648263518
CA5K_00135,-124.04962027762578,40.85789636129914
CA5K_00136,-124.05215306125606,40.902898179190395
CA5K_00137,-124.05468901313087,40.94790196852215
CA5K_00138,-124.05722813919499,40.992907761585016
CA5K_00139,-124.05977044540808,41.03791559074735
CA5K_00140,-124.06231593774473,41.082925488455835
CA5K_00141,-124.06486462219448,41.127937487236046
CA5K_00142,-124.06741650476192,41.17295161969267
CA5K_00143,-124.06997159146667,41.217967918509984
CA5K_00144,-124.0709090306667,41.26226733304836
CA5K_00145,-124.06666795101955,41.30715441034027
CA5K_00146,-124.06283617871917,41.3518247087403
CA5K_00147,-124.05974199388152,41.39689215648419
CA5K_00148,-124.05888091698877,41.44348695497358
CA5K_00149,-124.06441245312719,41.491644898016446
CA5K_00150,-124.07067386385728,41.53435539667016
CA5K_00151,-124.08034293966793,41.57888344670508
CA5K_00152,-124.088834892253,41.624715449359044
CA5K_00153,-124.0956988593214,41.668258254403945
CA5K_00154,-124.09829075511139,41.71329961416749
CA5K_00155,-124.10088476654138,41.758344488325015
CA5K_00156,-124.10348206175601,41.80339196120165
CA5K_00157,-124.10608264699077,41.84844206664653
CA5K_00158,-124.10868652849696,41.89349483859547
CA5K_00159,-124.11129371254171,41.93855031107176
CA5K_00160,-124.11401495979757,41.979022993902404
CA5K_00161,-123.91220023085283,39.88187690146487
CA5K_00162,-123.92879252237263,39.92086561708795
CA5K_00163,-123.94079024832048,39.96037053228449
CA5K_00164,-123.94355975135444,40.00507952933718
CA5K_00165,-123.94599735402942,40.050051148527984
CA5K_00166,-123.94843797029846,40.09502414266367
CA5K_00167,-123.95088160575027,40.13999854264574
CA5K_00168,-123.95332826598748,40.18497437944542
CA5K_00169,-123.95577795662649,40.229951684104215
CA5K_00170,-123.95823068329764,40.274930487734196
CA5K_00171,-123.96068645164522,40.31991082151869
CA5K_00172,-123.96314526732749,40.364892716712276
CA5K_00173,-123.96560713601679,40.409876204641435
CA5K_00174,-123.9680720633995,40.45486131670503
CA5K_00175,-123.97054005517613,40.49984808437456
CA5K_00176,-123.97301111706133,40.544836539194584
CA5K_00177,-123.97548525478403,40.58982671278343
CA5K_00178,-123.97796247408735,40.63481863683301
CA5K_00179,-123.98044278072877,40.67981234311007
CA5K_00180,-123.98292618047998,40.724807863455915
CA5K_00181,-123.98541267912725,40.76980522978704
CA5K_00182,-123.98790228247114,40.81480447409593
CA5K_00183,-123.99039499632671,40.85980562845093
CA5K_00184,-123.99289082652362,40.90480872499705
CA5K_00185,-123.99538977890599,40.94981379595629
CA5K_00186,-123.99789185933265,40.994820873628136
CA5K_00187,-124.00039707367701,41.03982999038988
CA5K_00188,-124.0029054278272,41.08484117869726
CA5K_00189,-124.00541692768618,41.12985447108485
CA5K_00190,-124.00793157917161,41.174869900166215
CA5K_00191,-124.01044938821603,41.219887498635
CA5K_00192,-124.01297036076687,41.26490729926466
CA5K_00193,-124.0154945027865,41.3099293349096
CA5K_00194,-124.01802182025232,41.354953638505016
CA5K_00195,-124.02055231915662,41.39998024306784
CA5K_00196,-124.02308600550693,41.445009181697
CA5K_00197,-124.0256228853258,41.49004048757401
CA5K_00198,-124.02816296465102,41.53507419396318
CA5K_00199,-124.03070624953554,41.58011033421234
CA5K_00200,-124.03325274604765,41.62514894175341
CA5K_00201,-124.03580246027086,41.670190050102434
CA5K_00202,-124.03835539830412,41.715233692860686
CA5K_00203,-124.04091156626181,41.76027990371455
CA5K_00204,-124.0434709702737,41.8053287164365
CA5K_00205,-124.04603361648512,41.85038016488529
CA5K_00206,-124.04859951105695,41.89543428300643
CA5K_00207,-124.05116866016566,41.9404911048332
CA5K_00208,-124.05375341175949,41.97974643430584
CA5K_00209,-123.8234982825205,39.349707328474224
CA5K_00210,-123.82335847694837,39.36385180468323
CA5K_00211,-123.85959059360584,39.841513304662215
CA5K_00212,-123.87670455841211,39.87301413702705
CA5K_00213,-123.8802308188401,39.91699565302876
CA5K_00214,-123.88262639980093,39.96196581514587
CA5K_00215,-123.88502493890475,40.006937293367145
CA5K_00216,-123.88742644163113,40.05191011846359
CA5K_00217,-123.88983091347319,40.09688432127522
CA5K_00218,-123.89223835993747,40.14185993271154
CA5K_00219,-123.89464878654431,40.18683698375182
CA5K_00220,-123.89706219882756,40.23181550544573
CA5K_00221,-123.8994786023349,40.27679552891356
CA5K_00222,-123.90189800262765,40.321777085346554
CA5K_00223,-123.90432040528097,40.36676020600773
CA5K_00224,-123.90674581588385,40.4117449222318
CA5K_00225,-123.90917424003915,40.456731265425866
CA5K_00226,-123.9116056833636,40.50171926706968
CA5K_00227,-123.91404015148798,40.546708958716366
CA5K_00228,-123.91647765005702,40.591700371992516
CA5K_00229,-123.91891818472943,40.63669353859851
CA5K_00230,-123.92136176117818,40.6816884903096
CA5K_00231,-123.92380838509015,40.726685258975586
CA5K_00232,-123.92625806216662,40.77168387652157
CA5K_00233,-123.92871079812294,40.81668437494866
CA5K_00234,-123.93116659868879,40.86168678633369
CA5K_00235,-123.93362546960815,40.90669114283057
CA5K_00236,-123.93608741663931,40.95169747666986
CA5K_00237,-123.93855244555505,40.9967058201599
CA5K_00238,-123.94102056214253,41.04171620568681
CA5K_00239,-123.9434917722034,41.08672866571507
CA5K_00240,-123.9459660815539,41.131743232788125
CA5K_00241,-123.94844349602478,41.17675993952865
CA5K_00242,-123.95092402146146,41.22177881863898
CA5K_00243,-123.95340766372401,41.266799902901894
CA5K_00244,-123.95589442868727,41.31182322518059
CA5K_00245,-123.95838432224075,41.35684881841953
CA5K_00246,-123.96087735028887,41.401876715644796
CA5K_00247,-123.96337351875087,41.446906949964394
CA5K_00248,-123.96587283356085,41.491939554569
CA5K_00249,-123.96837530066794,41.53697456273231
CA5K_00250,-123.97088092603622,41.582012007811535
CA5K_00251,-123.97338971564481,41.62705192324783
CA5K_00252,-123.97590167548799,41.67209434256666
CA5K_00253,-123.97841681157506,41.71713929937871
CA5K_00254,-123.9809351299306,41.76218682737992
CA5K_00255,-123.98345663659445,41.80723696035233
CA5K_00256,-123.98598133762164,41.85228973216414
CA5K_00257,-123.98850923908263,41.89734517677071
CA5K_00258,-123.99104034706318,41.9424033282147
CA5K_00259,-123.9935145221363,41.98054739136793
CA5K_00260,-123.76352787949722,39.20626597354775
CA5K_00261,-123.77025486046163,39.2466432328724
CA5K_00262,-123.78133494198647,39.29084125208324
CA5K_00263,-123.78840949957178,39.33599959679714
CA5K_00264,-123.79300304769916,39.37912814618939
CA5K_00265,-123.79174892584838,39.42381263875025
CA5K_00266,-123.78846707114239,39.467809355099064
CA5K_00267,-123.77916773905096,39.50607231692608
CA5K_00268,-123.7762081452009,39.57800261668984
CA5K_00269,-123.780846705998,39.60461891337163
CA5K_00270,-123.78304401462532,39.65159361408004
CA5K_00271,-123.79199909581838,39.699163460876356
CA5K_00272,-123.80776889819842,39.73992510443912
CA5K_00273,-123.81224354182532,39.7842255768576
CA5K_00274,-123.81705321521659,39.82888568035489
CA5K_00275,-123.81940846467765,39.87385322848249
CA5K_00276,-123.82176512050492,39.91882328505061
CA5K_00277,-123.82412468476247,39.963794629726486
CA5K_00278,-123.82648716283474,40.00876729322011
CA5K_00279,-123.82885256011951,40.053741306310364
CA5K_00280,-123.8312208820279,40.09871669984514
CA5K_00281,-123.83359213398444,40.143693504741776
CA5K_00282,-123.83596632142697,40.188671751987634
CA5K_00283,-123.83834344980689,40.233651472640176
CA5K_00284,-123.84072352458902,40.27863269782779
CA5K_00285,-123.84310655125181,40.323615458749906
CA5K_00286,-123.84549253528719,40.36859978667752
CA5K_00287,-123.84788148220082,40.4135857129535
CA5K_00288,-123.85027339751193,40.458573268993035
CA5K_00289,-123.85266828675354,40.50356248628424
CA5K_00290,-123.85506615547234,40.54855339638843
CA5K_00291,-123.85746700922891,40.593546030940345
CA5K_00292,-123.8598708535976,40.63854042164892
CA5K_00293,-123.86227769416666,40.68353660029761
CA5K_00294,-123.86468753653824,40.72853459874461
CA5K_00295,-123.86710038632853,40.7735344489236
CA5K_00296,-123.86951624916763,40.818536182844014
CA5K_00297,-123.87193513069975,40.86353983259131
CA5K_00298,-123.87435703658323,40.908545430327855
CA5K_00299,-123.87678197249046,40.953553008292836
CA5K_00300,-123.87920994410813,40.998562598803254
CA5K_00301,-123.88164095713707,41.04357423425389
CA5K_00302,-123.88407501729243,41.08858794711796
CA5K_00303,-123.88651213030366,41.13360376994765
CA5K_00304,-123.8889523019146,41.17862173537441
CA5K_00305,-123.89139553788344,41.22364187610949
CA5K_00306,-123.89384184398293,41.26866422494444
CA5K_00307,-123.89629122600023,41.31368881475148
CA5K_00308,-123.89874368973705,41.35871567848396
CA5K_00309,-123.90119924100975,41.40374484917692
CA5K_00310,-123.90365788564931,41.44877635994755
CA5K_00311,-123.9061196295013,41.493810243995604
CA5K_00312,-123.90858447842619,41.53884653460387
CA5K_00313,-123.91105243829908,41.58388526513863
CA5K_00314,-123.91352351500996,41.62892646905031
CA5K_00315,-123.9159977144637,41.6739701798738
CA5K_00316,-123.91847504258003,41.71901643122896
CA5K_00317,-123.92095550529366,41.7640652568211
CA5K_00318,-123.92343910855438,41.80911669044156
CA5K_00319,-123.92592585832698,41.85417076596815
CA5K_00320,-123.92841576059132,41.8992275173656
CA5K_00321,-123.93090882134247,41.944286978686144
CA5K_00322,-123.93328771799362,41.98147492725485
CA5K_00323,-123.69149367532302,38.901925442761524
CA5K_00324,-123.70623226317545,38.93370557736554
CA5K_00325,-123.70233050205273,38.97172066538089
CA5K_00326,-123.69145418031208,39.01532765488683
CA5K_00327,-123.69634013123675,39.07403016634936
CA5K_00328,-123.7039107429219,39.114225004965
CA5K_00329,-123.71782379032001,39.15841831284773
CA5K_00330,-123.72647286588342,39.20124516411705
CA5K_00331,-123.7287841428184,39.24617339647521
CA5K_00332,-123.73106527200211,39.291129732082865
CA5K_00333,-123.73334919246788,39.336086935414095
CA5K_00334,-123.73563590933952,39.381045036265
CA5K_00335,-123.73792542775328,39.42600406449498
CA5K_00336,-123.74021775285811,39.470964050027206
CA5K_00337,-123.74251087442826,39.51592359555126
CA5K_00338,-123.74322899313533,39.56121975623874
CA5K_00339,-123.74711161999718,39.605850050633876
CA5K_00340,-123.74941522360804,39.65081416589548
CA5K_00341,-123.7517216598444,39.69577938904468
CA5K_00342,-123.75403093393153,39.74074575039524
CA5K_00343,-123.75634305110742,39.78571328032696
CA5K_00344,-123.758658016623,39.83068200928676
CA5K_00345,-123.76097583574216,39.87565196778849
CA5K_00346,-123.76329651374171,39.920623186413636
CA5K_00347,-123.7656200559115,39.96559569581169
CA5K_00348,-123.76794646755442,40.01056952670029
CA5K_00349,-123.77027575398647,40.05554470986614
CA5K_00350,-123.77260792053679,40.10052127616475
CA5K_00351,-123.7749429725476,40.14549925652134
CA5K_00352,-123.77728091537449,40.19047868193106
CA5K_00353,-123.77962175438621,40.2354595834593
CA5K_00354,-123.78196549496478,40.28044199224238
CA5K_00355,-123.7843121425056,40.32542593948754
CA5K_00356,-123.78666170241748,40.37041145647379
CA5K_00357,-123.78901418012255,40.415398574552064
CA5K_00358,-123.79136958105653,40.460387325145675
CA5K_00359,-123.79372791066854,40.50537773975067
CA5K_00360,-123.79608917442128,40.55036984993644
