OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel
318336,28038659,,DEFAULT,7/3/2023 1:30:00 AM,,cfcad,1.1,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 12:35:41 AM,,,,,,,,,OSCC,,,,,,PICO,,WF,FI,33.807231,-117.16866,,,{CCBC35BC-6A13-4B79-B43C-1F172115791F},,0,,,0,,,,1,096130,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096130,No Decision,,,,7/3/2023 1:16:04 AM,7/3/2023 2:24:05 AM,0,,,{D09B0115-5384-4D3B-8DA1-1A873D4B197C},530e89b0-8d22-412d-bc34-6c5569c723cf,
318337,28038660,,DEFAULT,7/3/2023 3:58:00 PM,7/3/2023 5:24:00 PM,wildcade,0.1,0.1,NVSFC,,,,,,,,,,Undetermined,,,QBC1,,7/3/2023 1:13:58 AM,,1688657280000.0,,,,,PD,1522,GBCC,,,,,,Heenan Creek,,WF,FI,38.658472,-119.626934,,,{3F2EA19F-A183-435B-A801-DB0DB1CB438A},,0,1.0,,0,,,,1,030366,,,,Alpine,NVSFC,06003,BLM,NVCCD,,BLM,Federal,,,,,,,GB11,BLM,NVCCD,US-CA,,,,,,2023-NVCCD-030366,No Decision,,,,7/3/2023 1:54:58 AM,7/6/2023 8:28:50 AM,0,,,{9CC18296-58CF-44A2-9859-CB915E000F8C},4eea7834-b15d-4265-b6ec-c71b4f814590,
318338,28038661,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 1:44:34 AM,,,,,,,,,OSCC,,,,,,WILKERSON AV /E 4TH ST,,WF,FI,33.782357,-117.218959,,,{81BAA68A-C6A9-47DF-987D-A2D97C09422B},,0,0.0,0.0,0,0.0,0.0,,1,096149,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096149,No Decision,,,,7/3/2023 2:00:26 AM,7/3/2023 2:00:26 AM,0,,,{B81931A6-79BF-48BE-97BC-91D74AC96D18},6f7812ff-c2a2-4a7f-8b8b-5c5e6b130266,
318339,28038662,,DEFAULT,7/3/2023 2:03:42 AM,7/3/2023 2:17:04 AM,cfcad,0.2,0.01,CAMMCC,,0.2,,,,,,,,Undetermined,,,,,7/3/2023 1:47:05 AM,,,,,,,,,OSCC,,,,,,E CHILDS AV / HUPP ST,,WF,FI,37.287917,-120.308329,,,{2891DADC-03AF-4532-B61E-F2CB026EC56D},,0,0.0,0.0,0,0.0,0.0,,1,014409,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-014409,No Decision,,,,7/3/2023 2:03:46 AM,7/3/2023 2:17:28 AM,0,,,{42376ACC-0E38-4F13-88E5-064930609B56},734b645e-55d5-40d5-b90c-df8e53c9c6aa,
318340,28038663,,DEFAULT,7/3/2023 1:44:00 AM,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 12:34:50 AM,,,,,,,,,OSCC,,,,,,HARRISON ST / AVE 76,,WF,FI,33.4989,-116.119274,,,{FE0D82F8-E59A-4AD7-902F-965C4EA804AC},,0,0.0,0.0,0,0.0,0.0,,1,096129,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096129,No Decision,,,,7/3/2023 2:24:54 AM,7/3/2023 7:05:57 PM,0,,,{151EBB43-BC51-4476-807E-A5A3AE0422FD},52037d88-7068-40f2-928d-ecedea48c25b,
318341,28038664,,DEFAULT,7/3/2023 6:40:00 AM,,cfcad,1.3,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 3:26:06 AM,,,,,,,,,OSCC,,,,,,BUCHANAN 2,,WF,FI,33.569342,-116.092746,,,{315424CD-AF36-462C-B146-E82391C43585},,0,0.0,0.0,0,0.0,0.0,,1,096175,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096175,No Decision,,,,7/3/2023 3:35:23 AM,7/4/2023 3:13:51 PM,0,,,{C9D7FF98-8C48-4CE0-9144-210E13C9434C},4ddf4cc5-2620-4b27-8b14-56c04009e347,
318343,28038666,,DEFAULT,,,IROC,,,CAKRCC,,,,,,,,,,,,,,,7/3/2023 2:00:00 AM,,,,,,,,,OSCC,,,,,,ROUND,,WF,FI,,,,,{B4242042-2EFE-435F-A36A-6B59D7A2024A},,0,,,0,,,,1,030473,,,,Kern,CAKRCC,06029,,,,Private,Private,,,,,,,SC05,C&L,CAKRN,US-CA,,,,,,2023-CAKRN-030473,No Decision,,,,7/3/2023 4:12:37 AM,7/3/2023 4:12:37 AM,0,,,{0D67A447-929A-4D3D-ABE5-9069632A4104},06c35bcc-8df5-44f7-a672-218b4a81ff36,
318349,28038672,,DEFAULT,7/2/2023 6:01:00 PM,7/2/2023 6:09:00 PM,cfcad,0.01,0.01,CASDIC,,0.01,,,,,,,,Undetermined,,,,,7/2/2023 5:58:46 PM,,,,,,,,,OSCC,,,,,,KUUTPAT RD / VALLEY CENTER RD,,WF,FI,33.250566,-116.963073,,,{5AB7E20D-841A-40BC-8B06-FF61E6BA4A83},,0,0.0,0.0,0,0.0,0.0,,1,015560,,,,San Diego,CASDIC,06073,BIA,CASCA,,BIA,Federal,,,,,,,SC08,CAL FIRE,CASDU,US-CA,,,,,,2023-CASDU-015560,No Decision,,,,7/3/2023 5:35:53 AM,7/3/2023 5:36:05 AM,0,,,{B2DD495C-8E6D-4A84-8050-7FEB2B0C7BA2},88128aec-1610-4830-bcd5-21b9255677ab,
318350,28038673,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/3/2023 5:35:07 AM,,,,,,,,,OSCC,,,,,,LAC-219828,,WF,FI,34.03412,-118.0291,,,{64E0DA18-8827-4694-9613-8C505C237042},,0,,,0,,,,1,219828,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-219828,No Decision,,,,7/3/2023 5:46:48 AM,7/3/2023 5:46:48 AM,0,,,{B27E0D4D-9670-458D-8A9E-E6849A7A143B},6f05a106-0c05-4037-8bd5-954375289389,
318352,28038675,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 4:34:27 AM,,,,,,,,,OSCC,,,,,,WALTERS ST / JAKE WY,,WF,FI,33.95251,-117.60723,,,{25FC6112-F56F-49DC-B48E-634541C1EFB0},,0,0.0,0.0,0,0.0,0.0,,1,096186,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096186,No Decision,,,,7/3/2023 5:53:18 AM,7/3/2023 5:53:18 AM,0,,,{3754C719-6183-4B1C-853A-8AA2186AFF17},6c759fda-3824-4363-89bd-9fbdd91a294f,
