LAT,LON,YEAR,DOY,T2M
32.5,-124.375,2023,182,15.14
32.5,-123.75,2023,182,15.1
32.5,-123.125,2023,182,15.02
32.5,-122.5,2023,182,14.87
32.5,-121.875,2023,182,14.77
32.5,-121.25,2023,182,14.78
32.5,-120.625,2023,182,14.58
32.5,-120.0,2023,182,14.11
33.0,-124.375,2023,182,14.92
33.0,-123.75,2023,182,14.91
33.0,-123.125,2023,182,14.94
33.0,-122.5,2023,182,14.83
33.0,-121.875,2023,182,14.69
33.0,-121.25,2023,182,14.58
33.0,-120.625,2023,182,14.23
33.0,-120.0,2023,182,13.62
33.5,-124.375,2023,182,14.73
33.5,-123.75,2023,182,14.74
33.5,-123.125,2023,182,14.81
33.5,-122.5,2023,182,14.76
33.5,-121.875,2023,182,14.59
33.5,-121.25,2023,182,14.31
33.5,-120.625,2023,182,13.96
33.5,-120.0,2023,182,13.84
34.0,-124.375,2023,182,14.63
34.0,-123.75,2023,182,14.57
34.0,-123.125,2023,182,14.55
34.0,-122.5,2023,182,14.57
34.0,-121.875,2023,182,14.46
34.0,-121.25,2023,182,13.94
34.0,-120.625,2023,182,13.78
34.0,-120.0,2023,182,15.76
34.5,-124.375,2023,182,14.62
34.5,-123.75,2023,182,14.5
34.5,-123.125,2023,182,14.35
34.5,-122.5,2023,182,14.41
34.5,-121.875,2023,182,14.38
34.5,-121.25,2023,182,13.79
34.5,-120.625,2023,182,16.99
34.5,-120.0,2023,182,22.71
35.0,-124.375,2023,182,14.59
35.0,-123.75,2023,182,14.47
35.0,-123.125,2023,182,14.28
35.0,-122.5,2023,182,14.24
35.0,-121.875,2023,182,13.94
35.0,-121.25,2023,182,13.72
35.0,-120.625,2023,182,20.8
35.0,-120.0,2023,182,28.74
35.5,-124.375,2023,182,14.48
35.5,-123.75,2023,182,14.5
35.5,-123.125,2023,182,14.35
35.5,-122.5,2023,182,13.9
35.5,-121.875,2023,182,13.87
35.5,-121.25,2023,182,17.36
35.5,-120.625,2023,182,26.81
35.5,-120.0,2023,182,30.6
36.0,-124.375,2023,182,14.37
36.0,-123.75,2023,182,14.44
36.0,-123.125,2023,182,14.35
36.0,-122.5,2023,182,13.22
36.0,-121.875,2023,182,15.11
36.0,-121.25,2023,182,27.33
36.0,-120.625,2023,182,32.12
36.0,-120.0,2023,182,33.16
36.5,-124.375,2023,182,14.17
36.5,-123.75,2023,182,14.12
36.5,-123.125,2023,182,14.09
36.5,-122.5,2023,182,13.14
36.5,-121.875,2023,182,16.56
36.5,-121.25,2023,182,29.71
36.5,-120.625,2023,182,32.22
36.5,-120.0,2023,182,33.76
37.0,-124.375,2023,182,13.87
37.0,-123.75,2023,182,13.36
37.0,-123.125,2023,182,13.0
37.0,-122.5,2023,182,13.27
37.0,-121.875,2023,182,23.06
37.0,-121.25,2023,182,30.38
37.0,-120.625,2023,182,32.76
37.0,-120.0,2023,182,34.49
37.5,-124.375,2023,182,13.15
37.5,-123.75,2023,182,12.26
37.5,-123.125,2023,182,11.91
37.5,-122.5,2023,182,14.8
37.5,-121.875,2023,182,26.36
37.5,-121.25,2023,182,30.29
37.5,-120.625,2023,182,33.39
37.5,-120.0,2023,182,29.92
38.0,-124.375,2023,182,12.85
38.0,-123.75,2023,182,11.88
38.0,-123.125,2023,182,14.04
38.0,-122.5,2023,182,19.11
38.0,-121.875,2023,182,23.94
38.0,-121.25,2023,182,28.5
38.0,-120.625,2023,182,30.46
38.0,-120.0,2023,182,23.78
38.5,-124.375,2023,182,12.89
38.5,-123.75,2023,182,14.09
38.5,-123.125,2023,182,22.2
38.5,-122.5,2023,182,28.26
38.5,-121.875,2023,182,28.88
38.5,-121.25,2023,182,29.2
38.5,-120.625,2023,182,28.02
38.5,-120.0,2023,182,21.02
39.0,-124.375,2023,182,12.64
39.0,-123.75,2023,182,17.84
39.0,-123.125,2023,182,27.71
39.0,-122.5,2023,182,31.19
39.0,-121.875,2023,182,31.88
39.0,-121.25,2023,182,30.79
39.0,-120.625,2023,182,25.87
39.0,-120.0,2023,182,22.8
39.5,-124.375,2023,182,12.83
39.5,-123.75,2023,182,20.0
39.5,-123.125,2023,182,27.47
39.5,-122.5,2023,182,32.5
39.5,-121.875,2023,182,33.48
39.5,-121.25,2023,182,28.95
39.5,-120.625,2023,182,23.69
39.5,-120.0,2023,182,23.92
40.0,-124.375,2023,182,13.68
40.0,-123.75,2023,182,23.55
40.0,-123.125,2023,182,26.32
40.0,-122.5,2023,182,32.57
40.0,-121.875,2023,182,31.33
40.0,-121.25,2023,182,25.78
40.0,-120.625,2023,182,24.23
40.0,-120.0,2023,182,25.61
40.5,-124.375,2023,182,13.99
40.5,-123.75,2023,182,24.87
40.5,-123.125,2023,182,26.78
40.5,-122.5,2023,182,31.1
40.5,-121.875,2023,182,28.18
40.5,-121.25,2023,182,23.12
40.5,-120.625,2023,182,24.36
40.5,-120.0,2023,182,26.05
41.0,-124.375,2023,182,13.56
41.0,-123.75,2023,182,23.75
41.0,-123.125,2023,182,24.87
41.0,-122.5,2023,182,26.41
41.0,-121.875,2023,182,26.6
41.0,-121.25,2023,182,24.84
41.0,-120.625,2023,182,23.58
41.0,-120.0,2023,182,24.01
41.5,-124.375,2023,182,14.81
41.5,-123.75,2023,182,23.65
